clip	durada_s	rms_db	zcr	centroid_hz	f0_median_hz	veu_activa	estat
clips/lead-yt-047__05__bueno.wav	5.760	-25.56	0.0827	1169.7	168.4	0.7857	descriptor instrumental; pendent d'audició
clips/lead-yt-047__06__b.wav	9.240	-50.82	0.1228	1940.8	175.8	0.4252	descriptor instrumental; pendent d'audició
clips/lead-yt-047__09__diguem.wav	7.400	-20.49	0.0702	1228.4	195.1	0.8821	descriptor instrumental; pendent d'audició
clips/lead-yt-047__10__doncs.wav	6.200	-25.00	0.0927	1361.8	188.2	0.8010	descriptor instrumental; pendent d'audició
clips/lead-yt-047__12__llavors.wav	8.040	-24.44	0.0664	1136.8	190.5	0.8703	descriptor instrumental; pendent d'audició
clips/lead-yt-047__13__no.wav	8.880	-20.65	0.0827	1235.8	190.5	0.7731	descriptor instrumental; pendent d'audició
clips/lead-yt-047__14__o-sigui.wav	8.620	-28.69	0.0877	1377.0	190.5	0.7233	descriptor instrumental; pendent d'audició
clips/lead-yt-047__15__per-tant.wav	7.480	-22.15	0.0727	1216.0	179.8	0.9021	descriptor instrumental; pendent d'audició
clips/lead-yt-047__16__perqu.wav	11.360	-23.28	0.0877	1182.8	173.9	0.8051	descriptor instrumental; pendent d'audició
clips/lead-yt-047__36__diners.wav	8.240	-23.58	0.0852	1174.9	142.9	0.8078	descriptor instrumental; pendent d'audició
clips/lead-yt-047__45__femenina.wav	8.240	-23.58	0.0852	1174.9	142.9	0.8078	descriptor instrumental; pendent d'audició
clips/lead-yt-047__46__andorra.wav	7.760	-20.75	0.0802	1316.8	170.2	0.8682	descriptor instrumental; pendent d'audició
