clip	durada_s	rms_db	zcr	centroid_hz	f0_median_hz	veu_activa	estat
clips/lead-yt-049__01__a-nivell.wav	9.920	-22.53	0.0777	1368.9	160.0	0.7535	descriptor instrumental; pendent d'audició
clips/lead-yt-049__02__a-veure.wav	6.200	-28.97	0.2281	2194.2	128.0	0.6667	descriptor instrumental; pendent d'audició
clips/lead-yt-049__04__aviam.wav	9.440	-26.07	0.2657	2435.8	149.5	0.7898	descriptor instrumental; pendent d'audició
clips/lead-yt-049__05__bueno.wav	8.800	-29.10	0.1128	1304.8	141.6	0.6754	descriptor instrumental; pendent d'audició
clips/lead-yt-049__06__b.wav	10.240	-31.18	0.0677	1222.6	128.0	0.6037	descriptor instrumental; pendent d'audició
clips/lead-yt-049__07__clar.wav	8.080	-24.78	0.2331	2196.6	158.4	0.7940	descriptor instrumental; pendent d'audició
clips/lead-yt-049__08__de-fet.wav	10.400	-29.59	0.2180	2095.5	121.2	0.6291	descriptor instrumental; pendent d'audició
clips/lead-yt-049__09__diguem.wav	10.080	-24.12	0.0902	1341.3	160.0	0.7903	descriptor instrumental; pendent d'audició
clips/lead-yt-049__10__doncs.wav	8.600	-25.93	0.1429	1825.9	163.3	0.7587	descriptor instrumental; pendent d'audició
clips/lead-yt-049__11__evidentment.wav	9.120	-29.21	0.2306	2354.5	148.1	0.7110	descriptor instrumental; pendent d'audició
clips/lead-yt-049__12__llavors.wav	8.400	-25.23	0.0977	1315.8	160.0	0.7184	descriptor instrumental; pendent d'audició
clips/lead-yt-049__13__no.wav	10.920	-26.52	0.1103	1556.5	168.4	0.7037	descriptor instrumental; pendent d'audició
clips/lead-yt-049__14__o-sigui.wav	11.520	-24.44	0.0852	1244.1	156.9	0.7591	descriptor instrumental; pendent d'audició
clips/lead-yt-049__15__per-tant.wav	11.520	-28.17	0.2256	2145.9	145.5	0.6278	descriptor instrumental; pendent d'audició
clips/lead-yt-049__16__perqu.wav	8.800	-29.10	0.1128	1304.8	141.6	0.6754	descriptor instrumental; pendent d'audició
clips/lead-yt-049__17__vull-dir.wav	10.120	-28.04	0.0827	1332.2	152.4	0.6515	descriptor instrumental; pendent d'audició
clips/lead-yt-049__18__s-a-dir.wav	7.800	-29.84	0.0727	1176.1	118.5	0.6530	descriptor instrumental; pendent d'audició
clips/lead-yt-049__36__reiki.wav	7.000	-31.17	0.2293	2279.7	172.0	0.5960	descriptor instrumental; pendent d'audició
clips/lead-yt-049__38__energia.wav	10.800	-22.99	0.1003	1356.4	148.8	0.8404	descriptor instrumental; pendent d'audició
clips/lead-yt-049__39__meditaci.wav	10.360	-25.23	0.1053	1451.9	170.2	0.7485	descriptor instrumental; pendent d'audició
clips/lead-yt-049__41__ter-pies.wav	7.200	-26.59	0.0827	1247.1	160.8	0.7953	descriptor instrumental; pendent d'audició
clips/lead-yt-049__42__cursos.wav	11.000	-26.04	0.0827	1380.3	166.7	0.7505	descriptor instrumental; pendent d'audició
clips/lead-yt-049__43__mestre.wav	7.000	-31.17	0.2293	2279.7	172.0	0.5960	descriptor instrumental; pendent d'audició
clips/lead-yt-049__44__cos.wav	11.400	-26.60	0.0952	1395.6	158.4	0.7311	descriptor instrumental; pendent d'audició
clips/lead-yt-049__47__andorra.wav	13.520	-25.59	0.1128	1367.0	132.8	0.7859	descriptor instrumental; pendent d'audició
clips/lead-yt-049__51__formaci.wav	10.160	-30.17	0.1103	1484.3	150.9	0.6746	descriptor instrumental; pendent d'audició
clips/lead-yt-049__52__benestar.wav	10.400	-21.98	0.0952	1365.9	181.8	0.8044	descriptor instrumental; pendent d'audició
