clip	durada_s	rms_db	zcr	centroid_hz	f0_median_hz	veu_activa	estat
clips/lead-yt-050__01__a-nivell.wav	11.760	-28.41	0.0802	1168.9	136.8	0.6823	descriptor instrumental; pendent d'audició
clips/lead-yt-050__02__a-veure.wav	6.000	-33.81	0.0652	1313.7	116.8	0.5385	descriptor instrumental; pendent d'audició
clips/lead-yt-050__05__bueno.wav	7.920	-40.07	0.0902	1433.6	128.0	0.4456	descriptor instrumental; pendent d'audició
clips/lead-yt-050__06__b.wav	8.000	-39.56	0.0702	1322.0	131.1	0.4561	descriptor instrumental; pendent d'audició
clips/lead-yt-050__07__clar.wav	6.440	-28.42	0.0802	1133.9	153.8	0.6231	descriptor instrumental; pendent d'audició
clips/lead-yt-050__08__de-fet.wav	7.440	-33.81	0.0877	1086.8	128.0	0.6105	descriptor instrumental; pendent d'audició
clips/lead-yt-050__10__doncs.wav	8.000	-39.56	0.0702	1322.0	131.1	0.4561	descriptor instrumental; pendent d'audició
clips/lead-yt-050__11__evidentment.wav	9.600	-27.48	0.0627	947.3	132.2	0.7474	descriptor instrumental; pendent d'audició
clips/lead-yt-050__12__llavors.wav	6.440	-28.42	0.0802	1133.9	153.8	0.6231	descriptor instrumental; pendent d'audició
clips/lead-yt-050__13__no.wav	7.660	-25.94	0.0652	994.4	137.9	0.7539	descriptor instrumental; pendent d'audició
clips/lead-yt-050__15__per-tant.wav	7.000	-33.38	0.0727	1144.3	130.1	0.5702	descriptor instrumental; pendent d'audició
clips/lead-yt-050__16__perqu.wav	8.440	-39.32	0.0890	1406.1	112.7	0.4276	descriptor instrumental; pendent d'audició
clips/lead-yt-050__17__vull-dir.wav	11.000	-29.48	0.0551	968.8	131.1	0.7158	descriptor instrumental; pendent d'audició
clips/lead-yt-050__18__s-a-dir.wav	6.520	-30.93	0.0677	954.8	130.1	0.6323	descriptor instrumental; pendent d'audició
clips/lead-yt-050__19__canillo.wav	8.160	-32.88	0.0714	1041.7	124.0	0.6720	descriptor instrumental; pendent d'audició
clips/lead-yt-050__22__ordino.wav	8.160	-32.88	0.0714	1041.7	124.0	0.6720	descriptor instrumental; pendent d'audició
clips/lead-yt-050__25__andorrana.wav	8.080	-28.82	0.0652	1070.2	144.1	0.6625	descriptor instrumental; pendent d'audició
clips/lead-yt-050__26__comunal.wav	11.700	-36.06	0.0852	1209.0	127.0	0.5128	descriptor instrumental; pendent d'audició
clips/lead-yt-050__27__comunals.wav	7.440	-34.62	0.0827	1075.2	122.1	0.5728	descriptor instrumental; pendent d'audició
clips/lead-yt-050__28__comuns.wav	11.700	-36.06	0.0852	1209.0	127.0	0.5128	descriptor instrumental; pendent d'audició
clips/lead-yt-050__33__parr-quia.wav	8.160	-32.88	0.0714	1041.7	124.0	0.6720	descriptor instrumental; pendent d'audició
clips/lead-yt-050__36__historiador.wav	13.000	-35.17	0.0727	1175.2	115.9	0.5354	descriptor instrumental; pendent d'audició
clips/lead-yt-050__37__hist-ria.wav	8.120	-34.83	0.0952	1360.0	132.2	0.5506	descriptor instrumental; pendent d'audició
clips/lead-yt-050__38__andorra.wav	10.080	-25.75	0.0677	995.7	137.9	0.7475	descriptor instrumental; pendent d'audició
clips/lead-yt-050__40__guerra-civil.wav	10.000	-43.01	0.0702	1339.2	133.3	0.3908	descriptor instrumental; pendent d'audició
clips/lead-yt-050__41__segona-guerra-mundial.wav	9.040	-30.67	0.0526	880.6	132.2	0.6741	descriptor instrumental; pendent d'audició
clips/lead-yt-050__44__mem-ria.wav	7.000	-36.88	0.0602	1171.1	133.3	0.4943	descriptor instrumental; pendent d'audició
clips/lead-yt-050__45__testimoni.wav	8.400	-36.81	0.0677	1258.0	106.0	0.4845	descriptor instrumental; pendent d'audició
clips/lead-yt-050__46__poblaci.wav	9.000	-28.19	0.0652	1063.9	149.5	0.6871	descriptor instrumental; pendent d'audició
clips/lead-yt-050__47__habitants.wav	10.080	-30.65	0.0752	1061.6	131.1	0.6481	descriptor instrumental; pendent d'audició
clips/lead-yt-050__48__exili.wav	9.080	-31.70	0.0727	1074.3	146.8	0.5905	descriptor instrumental; pendent d'audició
clips/lead-yt-050__49__frontera.wav	8.960	-29.64	0.0702	1065.4	130.1	0.6600	descriptor instrumental; pendent d'audició
clips/lead-yt-050__50__franc-s.wav	11.700	-36.06	0.0852	1209.0	127.0	0.5128	descriptor instrumental; pendent d'audició
clips/lead-yt-050__51__catal.wav	7.360	-28.38	0.0852	1080.3	137.9	0.7330	descriptor instrumental; pendent d'audició
clips/lead-yt-050__52__recerca.wav	7.400	-25.57	0.0652	1027.8	128.0	0.8103	descriptor instrumental; pendent d'audició
clips/lead-yt-050__53__llibre.wav	9.000	-37.25	0.0827	1254.4	126.0	0.4833	descriptor instrumental; pendent d'audició
