candidate	forma	clip	veu_confirmada	forma_confirmada	variant_transcrita	trets_fonetica	prosodia	nota_audicio	estat_audicio
lead-yt-050-pau-chica	a nivell	clips/lead-yt-050__01__a-nivell.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-050-pau-chica	a veure	clips/lead-yt-050__02__a-veure.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-050-pau-chica	bueno	clips/lead-yt-050__05__bueno.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-050-pau-chica	bé	clips/lead-yt-050__06__b.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-050-pau-chica	clar	clips/lead-yt-050__07__clar.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-050-pau-chica	de fet	clips/lead-yt-050__08__de-fet.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-050-pau-chica	doncs	clips/lead-yt-050__10__doncs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-050-pau-chica	evidentment	clips/lead-yt-050__11__evidentment.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-050-pau-chica	llavors	clips/lead-yt-050__12__llavors.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-050-pau-chica	no?	clips/lead-yt-050__13__no.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-050-pau-chica	per tant	clips/lead-yt-050__15__per-tant.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-050-pau-chica	perquè	clips/lead-yt-050__16__perqu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-050-pau-chica	vull dir	clips/lead-yt-050__17__vull-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-050-pau-chica	és a dir	clips/lead-yt-050__18__s-a-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-050-pau-chica	Canillo	clips/lead-yt-050__19__canillo.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-050-pau-chica	Ordino	clips/lead-yt-050__22__ordino.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-050-pau-chica	andorrana	clips/lead-yt-050__25__andorrana.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-050-pau-chica	comunal	clips/lead-yt-050__26__comunal.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-050-pau-chica	comunals	clips/lead-yt-050__27__comunals.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-050-pau-chica	comuns	clips/lead-yt-050__28__comuns.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-050-pau-chica	parròquia	clips/lead-yt-050__33__parr-quia.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-050-pau-chica	historiador	clips/lead-yt-050__36__historiador.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-050-pau-chica	història	clips/lead-yt-050__37__hist-ria.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-050-pau-chica	Andorra	clips/lead-yt-050__38__andorra.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-050-pau-chica	Guerra Civil	clips/lead-yt-050__40__guerra-civil.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-050-pau-chica	Segona Guerra Mundial	clips/lead-yt-050__41__segona-guerra-mundial.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-050-pau-chica	memòria	clips/lead-yt-050__44__mem-ria.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-050-pau-chica	testimoni	clips/lead-yt-050__45__testimoni.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-050-pau-chica	població	clips/lead-yt-050__46__poblaci.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-050-pau-chica	habitants	clips/lead-yt-050__47__habitants.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-050-pau-chica	exili	clips/lead-yt-050__48__exili.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-050-pau-chica	frontera	clips/lead-yt-050__49__frontera.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-050-pau-chica	francès	clips/lead-yt-050__50__franc-s.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-050-pau-chica	català	clips/lead-yt-050__51__catal.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-050-pau-chica	recerca	clips/lead-yt-050__52__recerca.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-050-pau-chica	llibre	clips/lead-yt-050__53__llibre.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
