clip	durada_s	rms_db	zcr	centroid_hz	f0_median_hz	veu_activa	estat
clips/lead-yt-051-albert-vilaro__02__a-veure.wav	5.120	-23.25	0.0589	780.8	111.9	0.7922	descriptor instrumental; pendent d'audició
clips/lead-yt-051-albert-vilaro__04__aviam.wav	6.560	-33.52	0.1404	1829.6	148.1	0.5306	descriptor instrumental; pendent d'audició
clips/lead-yt-051-albert-vilaro__05__bueno.wav	6.520	-30.48	0.0927	1597.7	105.6	0.6708	descriptor instrumental; pendent d'audició
clips/lead-yt-051-albert-vilaro__06__b.wav	7.920	-22.11	0.1203	1841.1	130.1	0.9962	descriptor instrumental; pendent d'audició
clips/lead-yt-051-albert-vilaro__07__clar.wav	13.920	-27.71	0.0526	860.1	164.1	0.6892	descriptor instrumental; pendent d'audició
clips/lead-yt-051-albert-vilaro__08__de-fet.wav	7.000	-24.89	0.0677	1046.9	127.0	0.7006	descriptor instrumental; pendent d'audició
clips/lead-yt-051-albert-vilaro__09__diguem.wav	8.000	-25.78	0.1328	1597.3	111.1	0.7957	descriptor instrumental; pendent d'audició
clips/lead-yt-051-albert-vilaro__10__doncs.wav	6.880	-28.24	0.0777	1134.1	188.2	0.7143	descriptor instrumental; pendent d'audició
clips/lead-yt-051-albert-vilaro__13__no.wav	7.000	-23.16	0.0677	1048.0	179.8	0.7851	descriptor instrumental; pendent d'audició
clips/lead-yt-051-albert-vilaro__15__per-tant.wav	6.400	-26.29	0.0551	838.2	197.5	0.7006	descriptor instrumental; pendent d'audició
clips/lead-yt-051-albert-vilaro__16__perqu.wav	6.960	-27.66	0.1704	1914.5	149.5	0.6902	descriptor instrumental; pendent d'audició
clips/lead-yt-051-albert-vilaro__17__vull-dir.wav	8.760	-29.62	0.1003	1501.6	118.5	0.6373	descriptor instrumental; pendent d'audició
clips/lead-yt-051-albert-vilaro__18__s-a-dir.wav	9.880	-26.83	0.1629	1807.2	137.3	0.7323	descriptor instrumental; pendent d'audició
clips/lead-yt-051-albert-vilaro__41__inversi.wav	8.000	-29.31	0.0727	1125.4	102.6	0.6303	descriptor instrumental; pendent d'audició
clips/lead-yt-051-albert-vilaro__51__habitatge.wav	9.960	-25.43	0.0501	645.3	177.8	0.7686	descriptor instrumental; pendent d'audició
clips/lead-yt-051-albert-vilaro__53__treball.wav	9.000	-25.98	0.0576	843.3	140.6	0.7216	descriptor instrumental; pendent d'audició
clips/lead-yt-051-albert-vilaro__54__andorra.wav	8.520	-26.49	0.1328	1501.3	115.9	0.8047	descriptor instrumental; pendent d'audició
