candidate	forma	clip	veu_confirmada	forma_confirmada	variant_transcrita	trets_fonetica	prosodia	nota_audicio	estat_audicio
lead-yt-051-albert-vilaro-albert-vilaro	a veure	clips/lead-yt-051-albert-vilaro__02__a-veure.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-051-albert-vilaro-albert-vilaro	aviam	clips/lead-yt-051-albert-vilaro__04__aviam.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-051-albert-vilaro-albert-vilaro	bueno	clips/lead-yt-051-albert-vilaro__05__bueno.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-051-albert-vilaro-albert-vilaro	bé	clips/lead-yt-051-albert-vilaro__06__b.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-051-albert-vilaro-albert-vilaro	clar	clips/lead-yt-051-albert-vilaro__07__clar.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-051-albert-vilaro-albert-vilaro	de fet	clips/lead-yt-051-albert-vilaro__08__de-fet.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-051-albert-vilaro-albert-vilaro	diguem	clips/lead-yt-051-albert-vilaro__09__diguem.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-051-albert-vilaro-albert-vilaro	doncs	clips/lead-yt-051-albert-vilaro__10__doncs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-051-albert-vilaro-albert-vilaro	no?	clips/lead-yt-051-albert-vilaro__13__no.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-051-albert-vilaro-albert-vilaro	per tant	clips/lead-yt-051-albert-vilaro__15__per-tant.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-051-albert-vilaro-albert-vilaro	perquè	clips/lead-yt-051-albert-vilaro__16__perqu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-051-albert-vilaro-albert-vilaro	vull dir	clips/lead-yt-051-albert-vilaro__17__vull-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-051-albert-vilaro-albert-vilaro	és a dir	clips/lead-yt-051-albert-vilaro__18__s-a-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-051-albert-vilaro-albert-vilaro	inversió	clips/lead-yt-051-albert-vilaro__41__inversi.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-051-albert-vilaro-albert-vilaro	habitatge	clips/lead-yt-051-albert-vilaro__51__habitatge.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-051-albert-vilaro-albert-vilaro	treball	clips/lead-yt-051-albert-vilaro__53__treball.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-051-albert-vilaro-albert-vilaro	Andorra	clips/lead-yt-051-albert-vilaro__54__andorra.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
