clip	durada_s	rms_db	zcr	centroid_hz	f0_median_hz	veu_activa	estat
clips/lead-yt-052-valenti-closa__01__a-nivell.wav	9.480	-24.17	0.0702	1233.4	126.0	0.7928	descriptor instrumental; pendent d'audició
clips/lead-yt-052-valenti-closa__02__a-veure.wav	6.600	-29.19	0.0752	1130.9	140.4	0.7097	descriptor instrumental; pendent d'audició
clips/lead-yt-052-valenti-closa__04__aviam.wav	9.000	-32.79	0.0752	1365.6	127.0	0.6570	descriptor instrumental; pendent d'audició
clips/lead-yt-052-valenti-closa__05__bueno.wav	8.720	-28.92	0.0627	1115.5	109.6	0.7000	descriptor instrumental; pendent d'audició
clips/lead-yt-052-valenti-closa__06__b.wav	6.160	-31.46	0.0802	1287.3	109.6	0.6498	descriptor instrumental; pendent d'audició
clips/lead-yt-052-valenti-closa__07__clar.wav	6.520	-26.78	0.0802	1294.3	132.2	0.8000	descriptor instrumental; pendent d'audició
clips/lead-yt-052-valenti-closa__08__de-fet.wav	8.480	-30.12	0.1504	1757.1	135.6	0.6371	descriptor instrumental; pendent d'audició
clips/lead-yt-052-valenti-closa__10__doncs.wav	6.840	-28.23	0.0752	1444.7	140.4	0.7566	descriptor instrumental; pendent d'audició
clips/lead-yt-052-valenti-closa__12__llavors.wav	10.600	-25.07	0.0777	1424.0	141.6	0.7457	descriptor instrumental; pendent d'audició
clips/lead-yt-052-valenti-closa__13__no.wav	6.560	-26.23	0.1429	1740.1	154.6	0.8364	descriptor instrumental; pendent d'audició
clips/lead-yt-052-valenti-closa__14__o-sigui.wav	13.400	-25.50	0.0902	1406.8	120.3	0.8064	descriptor instrumental; pendent d'audició
clips/lead-yt-052-valenti-closa__15__per-tant.wav	8.440	-27.18	0.1103	1580.9	155.3	0.7482	descriptor instrumental; pendent d'audició
clips/lead-yt-052-valenti-closa__16__perqu.wav	7.240	-31.31	0.1003	1447.3	120.3	0.6731	descriptor instrumental; pendent d'audició
clips/lead-yt-052-valenti-closa__17__vull-dir.wav	14.040	-27.26	0.0877	1529.5	168.4	0.7389	descriptor instrumental; pendent d'audició
clips/lead-yt-052-valenti-closa__18__s-a-dir.wav	6.000	-25.46	0.1140	1594.4	150.9	0.8712	descriptor instrumental; pendent d'audició
clips/lead-yt-052-valenti-closa__20__escaldes.wav	6.520	-32.03	0.1178	1595.9	128.0	0.6662	descriptor instrumental; pendent d'audició
clips/lead-yt-052-valenti-closa__23__sant-juli.wav	7.920	-25.72	0.1378	1663.3	148.1	0.8785	descriptor instrumental; pendent d'audició
clips/lead-yt-052-valenti-closa__29__com.wav	7.120	-25.85	0.0952	1838.0	131.1	0.7803	descriptor instrumental; pendent d'audició
clips/lead-yt-052-valenti-closa__32__padr.wav	9.000	-23.61	0.0777	1304.5	137.9	0.7996	descriptor instrumental; pendent d'audició
clips/lead-yt-052-valenti-closa__33__parr-quia.wav	7.080	-28.27	0.0902	1396.0	116.8	0.7691	descriptor instrumental; pendent d'audició
clips/lead-yt-052-valenti-closa__36__conseller.wav	6.800	-29.07	0.1504	1833.9	133.3	0.7714	descriptor instrumental; pendent d'audició
clips/lead-yt-052-valenti-closa__37__cultura.wav	11.000	-30.79	0.0752	1318.9	136.8	0.6721	descriptor instrumental; pendent d'audició
clips/lead-yt-052-valenti-closa__46__pressupost.wav	11.440	-25.94	0.1003	1534.0	134.5	0.7846	descriptor instrumental; pendent d'audició
clips/lead-yt-052-valenti-closa__47__joves.wav	6.000	-24.16	0.0827	1413.7	139.1	0.8478	descriptor instrumental; pendent d'audició
clips/lead-yt-052-valenti-closa__48__m-sica.wav	6.480	-26.14	0.0727	1135.4	108.8	0.7864	descriptor instrumental; pendent d'audició
clips/lead-yt-052-valenti-closa__49__festival.wav	8.000	-31.04	0.0702	1180.7	120.3	0.7218	descriptor instrumental; pendent d'audició
