candidate	forma	clip	veu_confirmada	forma_confirmada	variant_transcrita	trets_fonetica	prosodia	nota_audicio	estat_audicio
lead-yt-052-valenti-closa-valenti-closa	a nivell	clips/lead-yt-052-valenti-closa__01__a-nivell.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-052-valenti-closa-valenti-closa	a veure	clips/lead-yt-052-valenti-closa__02__a-veure.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-052-valenti-closa-valenti-closa	aviam	clips/lead-yt-052-valenti-closa__04__aviam.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-052-valenti-closa-valenti-closa	bueno	clips/lead-yt-052-valenti-closa__05__bueno.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-052-valenti-closa-valenti-closa	bé	clips/lead-yt-052-valenti-closa__06__b.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-052-valenti-closa-valenti-closa	clar	clips/lead-yt-052-valenti-closa__07__clar.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-052-valenti-closa-valenti-closa	de fet	clips/lead-yt-052-valenti-closa__08__de-fet.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-052-valenti-closa-valenti-closa	doncs	clips/lead-yt-052-valenti-closa__10__doncs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-052-valenti-closa-valenti-closa	llavors	clips/lead-yt-052-valenti-closa__12__llavors.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-052-valenti-closa-valenti-closa	no?	clips/lead-yt-052-valenti-closa__13__no.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-052-valenti-closa-valenti-closa	o sigui	clips/lead-yt-052-valenti-closa__14__o-sigui.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-052-valenti-closa-valenti-closa	per tant	clips/lead-yt-052-valenti-closa__15__per-tant.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-052-valenti-closa-valenti-closa	perquè	clips/lead-yt-052-valenti-closa__16__perqu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-052-valenti-closa-valenti-closa	vull dir	clips/lead-yt-052-valenti-closa__17__vull-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-052-valenti-closa-valenti-closa	és a dir	clips/lead-yt-052-valenti-closa__18__s-a-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-052-valenti-closa-valenti-closa	Escaldes	clips/lead-yt-052-valenti-closa__20__escaldes.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-052-valenti-closa-valenti-closa	Sant Julià	clips/lead-yt-052-valenti-closa__23__sant-juli.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-052-valenti-closa-valenti-closa	comú	clips/lead-yt-052-valenti-closa__29__com.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-052-valenti-closa-valenti-closa	padrí	clips/lead-yt-052-valenti-closa__32__padr.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-052-valenti-closa-valenti-closa	parròquia	clips/lead-yt-052-valenti-closa__33__parr-quia.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-052-valenti-closa-valenti-closa	conseller	clips/lead-yt-052-valenti-closa__36__conseller.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-052-valenti-closa-valenti-closa	cultura	clips/lead-yt-052-valenti-closa__37__cultura.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-052-valenti-closa-valenti-closa	pressupost	clips/lead-yt-052-valenti-closa__46__pressupost.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-052-valenti-closa-valenti-closa	joves	clips/lead-yt-052-valenti-closa__47__joves.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-052-valenti-closa-valenti-closa	música	clips/lead-yt-052-valenti-closa__48__m-sica.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-052-valenti-closa-valenti-closa	festival	clips/lead-yt-052-valenti-closa__49__festival.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
