candidate	forma	clip	veu_confirmada	forma_confirmada	variant_transcrita	trets_fonetica	prosodia	nota_audicio	estat_audicio
lead-yt-053-sonia-andorrita-sonia-andorrita	a veure	clips/lead-yt-053-sonia-andorrita__02__a-veure.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-053-sonia-andorrita-sonia-andorrita	aleshores	clips/lead-yt-053-sonia-andorrita__03__aleshores.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-053-sonia-andorrita-sonia-andorrita	aviam	clips/lead-yt-053-sonia-andorrita__04__aviam.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-053-sonia-andorrita-sonia-andorrita	bueno	clips/lead-yt-053-sonia-andorrita__05__bueno.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-053-sonia-andorrita-sonia-andorrita	bé	clips/lead-yt-053-sonia-andorrita__06__b.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-053-sonia-andorrita-sonia-andorrita	clar	clips/lead-yt-053-sonia-andorrita__07__clar.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-053-sonia-andorrita-sonia-andorrita	de fet	clips/lead-yt-053-sonia-andorrita__08__de-fet.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-053-sonia-andorrita-sonia-andorrita	doncs	clips/lead-yt-053-sonia-andorrita__10__doncs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-053-sonia-andorrita-sonia-andorrita	llavors	clips/lead-yt-053-sonia-andorrita__12__llavors.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-053-sonia-andorrita-sonia-andorrita	no?	clips/lead-yt-053-sonia-andorrita__13__no.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-053-sonia-andorrita-sonia-andorrita	per tant	clips/lead-yt-053-sonia-andorrita__15__per-tant.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-053-sonia-andorrita-sonia-andorrita	perquè	clips/lead-yt-053-sonia-andorrita__16__perqu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-053-sonia-andorrita-sonia-andorrita	és a dir	clips/lead-yt-053-sonia-andorrita__18__s-a-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-053-sonia-andorrita-sonia-andorrita	Escaldes	clips/lead-yt-053-sonia-andorrita__20__escaldes.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-053-sonia-andorrita-sonia-andorrita	comú	clips/lead-yt-053-sonia-andorrita__29__com.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-053-sonia-andorrita-sonia-andorrita	Sonia	clips/lead-yt-053-sonia-andorrita__36__sonia.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-053-sonia-andorrita-sonia-andorrita	Andorrita	clips/lead-yt-053-sonia-andorrita__37__andorrita.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-053-sonia-andorrita-sonia-andorrita	botiga	clips/lead-yt-053-sonia-andorrita__39__botiga.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-053-sonia-andorrita-sonia-andorrita	Andorra	clips/lead-yt-053-sonia-andorrita__43__andorra.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-053-sonia-andorrita-sonia-andorrita	comunitat	clips/lead-yt-053-sonia-andorrita__48__comunitat.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-053-sonia-andorrita-sonia-andorrita	persones	clips/lead-yt-053-sonia-andorrita__49__persones.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-053-sonia-andorrita-sonia-andorrita	solidària	clips/lead-yt-053-sonia-andorrita__50__solid-ria.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-053-sonia-andorrita-sonia-andorrita	associacions	clips/lead-yt-053-sonia-andorrita__51__associacions.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-053-sonia-andorrita-sonia-andorrita	inscripció	clips/lead-yt-053-sonia-andorrita__52__inscripci.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
