clip	durada_s	rms_db	zcr	centroid_hz	f0_median_hz	veu_activa	estat
clips/lead-yt-047__02__a-veure.wav	5.600	-25.11	0.1378	1616.7	175.8	0.7796	descriptor instrumental; pendent d'audició
clips/lead-yt-047__03__aleshores.wav	6.320	-32.89	0.0977	1492.2	170.2	0.6222	descriptor instrumental; pendent d'audició
clips/lead-yt-047__04__aviam.wav	5.000	-27.24	0.1554	1814.8	190.5	0.6486	descriptor instrumental; pendent d'audició
clips/lead-yt-047__05__bueno.wav	7.000	-34.98	0.1178	1513.6	124.5	0.5301	descriptor instrumental; pendent d'audició
clips/lead-yt-047__06__b.wav	11.000	-27.23	0.0952	1411.9	161.6	0.7040	descriptor instrumental; pendent d'audició
clips/lead-yt-047__07__clar.wav	6.000	-24.69	0.1316	1577.8	177.8	0.7592	descriptor instrumental; pendent d'audició
clips/lead-yt-047__10__doncs.wav	6.600	-24.98	0.0902	1540.2	202.5	0.7720	descriptor instrumental; pendent d'audició
clips/lead-yt-047__11__evidentment.wav	6.120	-28.67	0.1103	1519.4	173.9	0.7836	descriptor instrumental; pendent d'audició
clips/lead-yt-047__12__llavors.wav	8.000	-36.49	0.0802	1248.6	166.7	0.5000	descriptor instrumental; pendent d'audició
clips/lead-yt-047__13__no.wav	6.640	-30.59	0.1153	1519.1	145.5	0.6767	descriptor instrumental; pendent d'audició
clips/lead-yt-047__14__o-sigui.wav	8.000	-33.85	0.1078	1319.7	130.1	0.6216	descriptor instrumental; pendent d'audició
clips/lead-yt-047__15__per-tant.wav	7.440	-33.98	0.1103	1505.2	161.6	0.5687	descriptor instrumental; pendent d'audició
clips/lead-yt-047__16__perqu.wav	6.000	-25.99	0.0927	1310.8	168.4	0.8244	descriptor instrumental; pendent d'audició
clips/lead-yt-047__17__vull-dir.wav	7.880	-29.69	0.1228	1686.8	222.2	0.6985	descriptor instrumental; pendent d'audició
clips/lead-yt-047__18__s-a-dir.wav	10.800	-29.81	0.0865	1507.8	188.2	0.7347	descriptor instrumental; pendent d'audició
clips/lead-yt-047__22__ordino.wav	9.480	-28.60	0.0852	1337.7	155.3	0.7674	descriptor instrumental; pendent d'audició
clips/lead-yt-047__23__sant-juli.wav	6.400	-41.08	0.1216	1786.1	173.9	0.3934	descriptor instrumental; pendent d'audició
clips/lead-yt-047__36__empresari.wav	5.560	-41.71	0.1278	1575.2	127.0	0.4025	descriptor instrumental; pendent d'audició
clips/lead-yt-047__37__empresa.wav	6.960	-34.62	0.0852	1266.7	173.9	0.5519	descriptor instrumental; pendent d'audició
clips/lead-yt-047__41__televisi.wav	6.320	-32.08	0.0852	1260.8	152.4	0.6921	descriptor instrumental; pendent d'audició
clips/lead-yt-047__42__tele.wav	6.440	-26.45	0.0852	1444.6	186.0	0.6682	descriptor instrumental; pendent d'audició
clips/lead-yt-047__43__tdt.wav	7.160	-35.31	0.1053	1418.6	134.5	0.5364	descriptor instrumental; pendent d'audició
clips/lead-yt-047__44__programa.wav	7.440	-25.11	0.0827	1546.3	246.2	0.7588	descriptor instrumental; pendent d'audició
clips/lead-yt-047__45__esport.wav	6.920	-26.67	0.0952	1402.3	186.0	0.8826	descriptor instrumental; pendent d'audició
clips/lead-yt-047__46__barcelona.wav	6.840	-30.84	0.1028	1640.9	192.8	0.5924	descriptor instrumental; pendent d'audició
clips/lead-yt-047__47__andorra.wav	7.360	-32.84	0.1053	1485.2	176.8	0.5913	descriptor instrumental; pendent d'audició
clips/lead-yt-047__51__internet.wav	11.240	-27.93	0.0852	1407.4	166.7	0.7442	descriptor instrumental; pendent d'audició
clips/lead-yt-047__52__m-bil.wav	7.400	-38.89	0.0977	1684.7	210.5	0.4634	descriptor instrumental; pendent d'audició
