clip	durada_s	rms_db	zcr	centroid_hz	f0_median_hz	veu_activa	estat
clips/lead-yt-047__01__a-nivell.wav	5.800	-24.19	0.0752	1286.7	153.8	0.8166	descriptor instrumental; pendent d'audició
clips/lead-yt-047__02__a-veure.wav	9.380	-30.28	0.0852	1299.7	148.1	0.6741	descriptor instrumental; pendent d'audició
clips/lead-yt-047__03__aleshores.wav	8.560	-28.53	0.0827	1157.4	177.8	0.7518	descriptor instrumental; pendent d'audició
clips/lead-yt-047__05__bueno.wav	6.000	-32.74	0.0852	1139.0	164.9	0.6355	descriptor instrumental; pendent d'audició
clips/lead-yt-047__06__b.wav	6.000	-38.02	0.0602	875.3	129.0	0.4298	descriptor instrumental; pendent d'audició
clips/lead-yt-047__07__clar.wav	6.000	-31.32	0.0777	1001.1	139.1	0.7341	descriptor instrumental; pendent d'audició
clips/lead-yt-047__08__de-fet.wav	6.000	-37.90	0.0877	1148.8	152.4	0.4699	descriptor instrumental; pendent d'audició
clips/lead-yt-047__09__diguem.wav	8.000	-35.47	0.0802	1072.9	139.1	0.5426	descriptor instrumental; pendent d'audició
clips/lead-yt-047__10__doncs.wav	8.940	-33.07	0.0852	1075.0	134.5	0.5987	descriptor instrumental; pendent d'audició
clips/lead-yt-047__11__evidentment.wav	6.000	-32.20	0.0802	1083.7	146.8	0.6488	descriptor instrumental; pendent d'audició
clips/lead-yt-047__12__llavors.wav	9.840	-29.73	0.0852	1084.2	153.8	0.7057	descriptor instrumental; pendent d'audició
clips/lead-yt-047__13__no.wav	9.380	-30.28	0.0852	1299.7	148.1	0.6741	descriptor instrumental; pendent d'audició
clips/lead-yt-047__14__o-sigui.wav	7.960	-33.18	0.0927	1322.7	145.5	0.6373	descriptor instrumental; pendent d'audició
clips/lead-yt-047__15__per-tant.wav	9.000	-27.34	0.0902	1337.5	137.9	0.7350	descriptor instrumental; pendent d'audició
clips/lead-yt-047__16__perqu.wav	11.600	-31.73	0.0827	1123.6	135.6	0.6658	descriptor instrumental; pendent d'audició
clips/lead-yt-047__17__vull-dir.wav	11.160	-28.18	0.0777	1339.0	166.7	0.6562	descriptor instrumental; pendent d'audició
clips/lead-yt-047__18__s-a-dir.wav	6.400	-30.17	0.0702	1054.8	202.5	0.6473	descriptor instrumental; pendent d'audició
clips/lead-yt-047__36__arnau.wav	4.000	-38.12	0.0576	842.3	104.2	0.4246	descriptor instrumental; pendent d'audició
clips/lead-yt-047__37__emprenedor.wav	10.000	-28.97	0.0752	1070.3	161.6	0.7535	descriptor instrumental; pendent d'audició
clips/lead-yt-047__38__emprenedoria.wav	10.000	-28.97	0.0752	1070.3	161.6	0.7535	descriptor instrumental; pendent d'audició
clips/lead-yt-047__39__empresa.wav	10.000	-27.29	0.0877	1213.4	142.9	0.7515	descriptor instrumental; pendent d'audició
clips/lead-yt-047__40__negoci.wav	6.960	-36.73	0.0852	1252.0	148.1	0.4856	descriptor instrumental; pendent d'audició
clips/lead-yt-047__44__digital.wav	8.800	-28.04	0.0777	1070.4	150.9	0.6925	descriptor instrumental; pendent d'audició
clips/lead-yt-047__45__jocs.wav	6.300	-36.18	0.0877	1361.2	150.9	0.5111	descriptor instrumental; pendent d'audició
clips/lead-yt-047__47__andorra.wav	6.000	-37.53	0.0627	930.7	139.1	0.4548	descriptor instrumental; pendent d'audició
clips/lead-yt-047__49__barcelona.wav	7.300	-31.72	0.0877	1355.1	153.8	0.6305	descriptor instrumental; pendent d'audició
clips/lead-yt-047__50__catalunya.wav	8.000	-32.16	0.0752	1003.0	168.4	0.6228	descriptor instrumental; pendent d'audició
clips/lead-yt-047__52__futur.wav	10.160	-31.33	0.0752	1008.1	145.5	0.6578	descriptor instrumental; pendent d'audició
