candidate	forma	clip	veu_confirmada	forma_confirmada	variant_transcrita	trets_fonetica	prosodia	nota_audicio	estat_audicio
lead-yt-056-arnau-fortuny	a nivell	clips/lead-yt-047__01__a-nivell.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-056-arnau-fortuny	a veure	clips/lead-yt-047__02__a-veure.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-056-arnau-fortuny	aleshores	clips/lead-yt-047__03__aleshores.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-056-arnau-fortuny	bueno	clips/lead-yt-047__05__bueno.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-056-arnau-fortuny	bé	clips/lead-yt-047__06__b.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-056-arnau-fortuny	clar	clips/lead-yt-047__07__clar.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-056-arnau-fortuny	de fet	clips/lead-yt-047__08__de-fet.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-056-arnau-fortuny	diguem	clips/lead-yt-047__09__diguem.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-056-arnau-fortuny	doncs	clips/lead-yt-047__10__doncs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-056-arnau-fortuny	evidentment	clips/lead-yt-047__11__evidentment.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-056-arnau-fortuny	llavors	clips/lead-yt-047__12__llavors.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-056-arnau-fortuny	no?	clips/lead-yt-047__13__no.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-056-arnau-fortuny	o sigui	clips/lead-yt-047__14__o-sigui.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-056-arnau-fortuny	per tant	clips/lead-yt-047__15__per-tant.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-056-arnau-fortuny	perquè	clips/lead-yt-047__16__perqu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-056-arnau-fortuny	vull dir	clips/lead-yt-047__17__vull-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-056-arnau-fortuny	és a dir	clips/lead-yt-047__18__s-a-dir.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-056-arnau-fortuny	Arnau	clips/lead-yt-047__36__arnau.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-056-arnau-fortuny	emprenedor	clips/lead-yt-047__37__emprenedor.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-056-arnau-fortuny	emprenedoria	clips/lead-yt-047__38__emprenedoria.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-056-arnau-fortuny	empresa	clips/lead-yt-047__39__empresa.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-056-arnau-fortuny	negoci	clips/lead-yt-047__40__negoci.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-056-arnau-fortuny	digital	clips/lead-yt-047__44__digital.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-056-arnau-fortuny	jocs	clips/lead-yt-047__45__jocs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-056-arnau-fortuny	Andorra	clips/lead-yt-047__47__andorra.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-056-arnau-fortuny	Barcelona	clips/lead-yt-047__49__barcelona.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-056-arnau-fortuny	Catalunya	clips/lead-yt-047__50__catalunya.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-056-arnau-fortuny	futur	clips/lead-yt-047__52__futur.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
