clip	durada_s	rms_db	zcr	centroid_hz	f0_median_hz	veu_activa	estat
clips/lead-yt-047__02__a-veure.wav	3.299	-20.76	0.1040	1963.7	197.5	0.7683	descriptor instrumental; pendent d'audició
clips/lead-yt-047__04__aviam.wav	12.000	-27.66	0.0652	953.7	123.1	0.7821	descriptor instrumental; pendent d'audició
clips/lead-yt-047__05__bueno.wav	6.240	-33.99	0.0877	1313.2	134.5	0.5354	descriptor instrumental; pendent d'audició
clips/lead-yt-047__06__b.wav	9.000	-33.55	0.0802	1063.0	127.0	0.5457	descriptor instrumental; pendent d'audició
clips/lead-yt-047__07__clar.wav	6.000	-39.33	0.0702	987.3	129.6	0.4314	descriptor instrumental; pendent d'audició
clips/lead-yt-047__10__doncs.wav	16.480	-31.90	0.0702	974.5	134.5	0.6130	descriptor instrumental; pendent d'audició
clips/lead-yt-047__11__evidentment.wav	7.120	-31.41	0.0727	1074.4	112.7	0.6817	descriptor instrumental; pendent d'audició
clips/lead-yt-047__12__llavors.wav	7.040	-30.46	0.0802	989.3	149.5	0.6937	descriptor instrumental; pendent d'audició
clips/lead-yt-047__13__no.wav	7.000	-28.58	0.0677	998.6	150.9	0.6648	descriptor instrumental; pendent d'audició
clips/lead-yt-047__14__o-sigui.wav	9.440	-36.12	0.0576	934.0	121.2	0.5085	descriptor instrumental; pendent d'audició
clips/lead-yt-047__15__per-tant.wav	8.520	-30.59	0.0752	1019.8	124.0	0.6929	descriptor instrumental; pendent d'audició
clips/lead-yt-047__16__perqu.wav	9.120	-31.90	0.0752	1140.5	118.5	0.6407	descriptor instrumental; pendent d'audició
clips/lead-yt-047__18__s-a-dir.wav	9.040	-32.04	0.0877	1209.3	131.1	0.6341	descriptor instrumental; pendent d'audició
clips/lead-yt-047__36__gabriel.wav	9.400	-32.36	0.0777	1124.1	137.9	0.5906	descriptor instrumental; pendent d'audició
clips/lead-yt-047__37__m-sic.wav	10.680	-34.31	0.0677	992.8	136.2	0.5450	descriptor instrumental; pendent d'audició
clips/lead-yt-047__38__m-sica.wav	9.320	-31.58	0.0727	978.0	111.9	0.6602	descriptor instrumental; pendent d'audició
clips/lead-yt-047__39__cor.wav	15.200	-33.71	0.0401	629.4	129.0	0.5567	descriptor instrumental; pendent d'audició
clips/lead-yt-047__42__gal-cia.wav	7.000	-31.68	0.0752	1147.3	133.3	0.6017	descriptor instrumental; pendent d'audició
clips/lead-yt-047__43__gallec.wav	6.440	-27.94	0.0677	986.4	142.9	0.7103	descriptor instrumental; pendent d'audició
clips/lead-yt-047__44__barcelona.wav	7.000	-31.68	0.0752	1147.3	133.3	0.6017	descriptor instrumental; pendent d'audició
clips/lead-yt-047__45__su-cia.wav	8.000	-36.06	0.0752	1168.9	145.5	0.5163	descriptor instrumental; pendent d'audició
clips/lead-yt-047__46__andorra.wav	7.240	-31.48	0.0752	1073.0	135.6	0.6316	descriptor instrumental; pendent d'audició
clips/lead-yt-047__48__cultura.wav	11.960	-37.29	0.0376	592.7	129.0	0.4824	descriptor instrumental; pendent d'audició
clips/lead-yt-047__49__lleure.wav	13.600	-29.38	0.0576	689.9	126.0	0.6502	descriptor instrumental; pendent d'audició
clips/lead-yt-047__52__oportunitat.wav	18.000	-32.14	0.0576	841.4	131.1	0.5940	descriptor instrumental; pendent d'audició
