id_persona	forma	clip	transcripcio_beam	estat	beam_text	forma_en_small	forma_en_base	forma_en_beam	similitud_textual_small
pa-004	bé	clips/pa-004__b__319.61.wav	qa-beam/pa-004__b.txt	complet	més o menys està bé allà i després...	sí	sí	sí	0.044
pa-005	bé	clips/pa-005__b__51.09.wav	qa-beam/pa-005__b.txt	complet	Si us sembla bé, farem un viatge en el temps, més precisament.	sí	sí	sí	0.079
pa-006	aleshores	clips/pa-006__aleshores__513.25.wav	qa-beam/pa-006__aleshores.txt	complet	Aleshores era molt fàcil agafar i aprofitar la força d'aigua baixant per l'entrada.	sí	sí	sí	0.105
pa-007	a veure	clips/pa-007__a-veure__89.25.wav	qa-beam/pa-007__a-veure.txt	complet	que he tingut a veure amb la història del nostre país  i que vaig publicar a un dels meus llibres que tinc per aquí.	sí	sí	sí	0.140
pa-008	a veure	clips/pa-008__a-veure__668.25.wav	qa-beam/pa-008__a-veure.txt	complet	tot això no té res a veure amb el que tres anys abans	sí	sí	sí	0.087
pa-009	bé	clips/pa-009__b__557.25.wav	qa-beam/pa-009__b.txt	complet	i són campanes que sonen molt bé.	sí	sí	sí	0.054
pa-010	bé	clips/pa-010__b__24.65.wav	qa-beam/pa-010__b.txt	complet	oponímia i risc geològics. I doncs vei avui com a col·laboració dins d'aquest  cicle de capsules d'història en temps de confinament.	sí	sí	no	0.106
pa-011	a veure	clips/pa-011__a-veure__551.81.wav	qa-beam/pa-011__a-veure.txt	complet	acabo d'exposicions i activitats que tenen sempre a veure amb el patrimoni.	sí	sí	sí	0.130
pa-012	doncs	clips/pa-012__doncs__411.25.wav	qa-beam/pa-012__doncs.txt	complet	aquí veient un equip de dallasres que estan treballant.	sí	sí	no	0.063
pa-013	evidentment	clips/pa-013__evidentment__530.29.wav	qa-beam/pa-013__evidentment.txt	complet	i algunes de les seves característiques són l'ús del graní, un material difícil de treballar, però molt bons resultats.	sí	sí	no	0.055
pa-014	aviam	clips/pa-014__aviam__875.45.wav	qa-beam/pa-014__aviam.txt	complet	d'escoltar una cosa, es diu, escoteu, aviam.  Imagineu-vos que les merdes apareixen.  Què passa amb el contrapàs? Es deixarà de ballar.	sí	sí	sí	0.150
pa-015	doncs	clips/pa-015__doncs__83.25.wav	qa-beam/pa-015__doncs.txt	complet	és important, doncs és important per una senzilla raó.	sí	sí	sí	0.070
pa-016	a nivell	clips/pa-016__a-nivell__333.81.wav	qa-beam/pa-016__a-nivell.txt	complet	inclús recordo doncs fer sessions maratonianes a nivell de comissions sobre tot quan	sí	sí	sí	0.092
pa-017	a nivell	clips/pa-017__a-nivell__143.25.wav	qa-beam/pa-017__a-nivell.txt	complet	Jo penso que totes les parts implicades a nivell de totes les parròquies	sí	sí	sí	0.093
pa-018	a nivell	clips/pa-018__a-nivell__188.45.wav	qa-beam/pa-018__a-nivell.txt	complet	Quan se vol, a nivells de programes polítics,	sí	sí	no	0.061
pa-019	a nivell	clips/pa-019__a-nivell__122.25.wav	qa-beam/pa-019__a-nivell.txt	complet	la Constitució és amb qualsevol tema que entrés a nivell de comissions.	sí	sí	sí	0.103
pa-020	aviam	clips/pa-020__aviam__252.21.wav	qa-beam/pa-020__aviam.txt	complet	Això és el seu, i a bon resultat que clar, això era aviam, potser va a...	sí	sí	sí	0.078
pa-021	bueno	clips/pa-021__bueno__12.25.wav	qa-beam/pa-021__bueno.txt	complet	i es va obligar, i, bueno, les hores, doncs,	sí	sí	sí	0.075
pa-022	a veure	clips/pa-022__a-veure__238.61.wav	qa-beam/pa-022__a-veure.txt	complet	perquè teníem la poder a veure si ara s'ho duré in extremis.	sí	sí	sí	0.042
pa-023	a nivell	clips/pa-023__a-nivell__418.57.wav	qa-beam/pa-023__a-nivell.txt	complet	i després també a nivell d'agricultura.	sí	sí	sí	0.052
pa-025	a veure	clips/pa-025__a-veure__388.01.wav	qa-beam/pa-025__a-veure.txt	complet	segurament. A veure, el goprínsem Martí, nosaltres no el criticarem.	sí	sí	sí	0.073
pa-026	a nivell	clips/pa-026__a-nivell__38.25.wav	qa-beam/pa-026__a-nivell.txt	complet	A.  Però a nivell nacional volia dir...	sí	sí	sí	0.056
pa-027	bé	clips/pa-027__b__30.97.wav	qa-beam/pa-027__b.txt	complet	I ara la meva consellera està parlant molt públic.  Allà hi havia molt públic, hi va haver bullíssim.	sí	sí	no	0.073
pa-028	bueno	clips/pa-028__bueno__28.37.wav	qa-beam/pa-028__bueno.txt	complet	Bé, bé, bé, bé, bé, bé...  Bé, bé, bé, bé, bé, bé...	sí	sí	no	0.061
pa-029	a nivell	clips/pa-029__a-nivell__417.09.wav	qa-beam/pa-029__a-nivell.txt	complet	que es volien els 4 a nivell nacional i l'aconseguiria.	sí	sí	sí	0.064
pa-030	a veure	clips/pa-030__a-veure__673.41.wav	qa-beam/pa-030__a-veure.txt	complet	A veure, aquí que el diu una cosa.	sí	sí	sí	0.058
