id_persona	forma	clip	json_full	estat
pa-007	bé	clips/pa-007__b__59.25.wav	qa-clips-json-full/pa-007__b__59_25.json	pendent-audicio
pa-007	llavors	clips/pa-007__llavors__657.25.wav	qa-clips-json-full/pa-007__llavors__657_25.json	pendent-audicio
pa-010	crec	clips/pa-010__crec__1033.25.wav	qa-clips-json-full/pa-010__crec__1033_25.json	pendent-audicio
pa-041	vull dir	clips/pa-041__vull-dir__264.25.wav	qa-clips-json-full/pa-041__vull-dir__264_25.json	pendent-audicio
pa-004	bé	clips/pa-004__b__319.61.wav	qa-clips-json-full/pa-004__b__319_61.json	pendent-audicio
pa-004	de fet	clips/pa-004__de-fet__601.17.wav	qa-clips-json-full/pa-004__de-fet__601_17.json	pendent-audicio
pa-004	evidentment	clips/pa-004__evidentment__522.93.wav	qa-clips-json-full/pa-004__evidentment__522_93.json	pendent-audicio
pa-004	perquè	clips/pa-004__perqu__464.09.wav	qa-clips-json-full/pa-004__perqu__464_09.json	pendent-audicio
pa-004	vull dir	clips/pa-004__vull-dir__143.45.wav	qa-clips-json-full/pa-004__vull-dir__143_45.json	pendent-audicio
pa-005	bé	clips/pa-005__b__51.09.wav	qa-clips-json-full/pa-005__b__51_09.json	pendent-audicio
pa-005	doncs	clips/pa-005__doncs__71.13.wav	qa-clips-json-full/pa-005__doncs__71_13.json	pendent-audicio
pa-005	o sigui	clips/pa-005__o-sigui__373.33.wav	qa-clips-json-full/pa-005__o-sigui__373_33.json	pendent-audicio
pa-006	aleshores	clips/pa-006__aleshores__513.25.wav	qa-clips-json-full/pa-006__aleshores__513_25.json	pendent-audicio
pa-006	bé	clips/pa-006__b__151.25.wav	qa-clips-json-full/pa-006__b__151_25.json	pendent-audicio
pa-006	de fet	clips/pa-006__de-fet__285.25.wav	qa-clips-json-full/pa-006__de-fet__285_25.json	pendent-audicio
pa-006	doncs	clips/pa-006__doncs__180.25.wav	qa-clips-json-full/pa-006__doncs__180_25.json	pendent-audicio
pa-006	o sigui	clips/pa-006__o-sigui__136.25.wav	qa-clips-json-full/pa-006__o-sigui__136_25.json	pendent-audicio
pa-006	perquè	clips/pa-006__perqu__110.25.wav	qa-clips-json-full/pa-006__perqu__110_25.json	pendent-audicio
pa-007	a veure	clips/pa-007__a-veure__89.25.wav	qa-clips-json-full/pa-007__a-veure__89_25.json	pendent-audicio
pa-007	clar	clips/pa-007__clar__344.25.wav	qa-clips-json-full/pa-007__clar__344_25.json	pendent-audicio
pa-007	diguem	clips/pa-007__diguem__585.25.wav	qa-clips-json-full/pa-007__diguem__585_25.json	pendent-audicio
pa-007	doncs	clips/pa-007__doncs__59.25.wav	qa-clips-json-full/pa-007__doncs__59_25.json	pendent-audicio
pa-007	evidentment	clips/pa-007__evidentment__778.25.wav	qa-clips-json-full/pa-007__evidentment__778_25.json	pendent-audicio
