id_persona	forma	interval_escolta	clip	json_small	estat
pa-001	bé	49.17-54.35	clips/pa-001__b__49.17.wav	qa-cua-small-json/pa-001__b__49_17.json	pendent-audicio
pa-002	bé	348.25-355.75	clips/pa-002__b__348.25.wav	qa-cua-small-json/pa-002__b__348_25.json	pendent-audicio
pa-003	bé	0.00-7.19	clips/pa-003__b__0.00.wav	qa-cua-small-json/pa-003__b__0_00.json	pendent-audicio
pa-004	bé	319.61-322.59	clips/pa-004__b__319.61.wav	qa-cua-small-json/pa-004__b__319_61.json	pendent-audicio
pa-005	bé	51.09-56.07	clips/pa-005__b__51.09.wav	qa-cua-small-json/pa-005__b__51_09.json	pendent-audicio
pa-006	bé	151.25-159.75	clips/pa-006__b__151.25.wav	qa-cua-small-json/pa-006__b__151_25.json	pendent-audicio
pa-007	bé	59.25-66.75	clips/pa-007__b__59.25.wav	qa-cua-small-json/pa-007__b__59_25.json	pendent-audicio
pa-008	bé	61.25-65.75	clips/pa-008__b__61.25.wav	qa-cua-small-json/pa-008__b__61_25.json	pendent-audicio
pa-009	bé	557.25-561.75	clips/pa-009__b__557.25.wav	qa-cua-small-json/pa-009__b__557_25.json	pendent-audicio
pa-010	bé	24.65-31.67	clips/pa-010__b__24.65.wav	qa-cua-small-json/pa-010__b__24_65.json	pendent-audicio
pa-011	bé	185.57-189.31	clips/pa-011__b__185.57.wav	qa-cua-small-json/pa-011__b__185_57.json	pendent-audicio
pa-012	bé	160.25-164.75	clips/pa-012__b__160.25.wav	qa-cua-small-json/pa-012__b__160_25.json	pendent-audicio
pa-013	bé	196.65-203.47	clips/pa-013__b__196.65.wav	qa-cua-small-json/pa-013__b__196_65.json	pendent-audicio
pa-014	bé	165.65-181.55	clips/pa-014__b__165.65.wav	qa-cua-small-json/pa-014__b__165_65.json	pendent-audicio
pa-015	bé	42.25-48.75	clips/pa-015__b__42.25.wav	qa-cua-small-json/pa-015__b__42_25.json	pendent-audicio
pa-016	bé	170.05-177.19	clips/pa-016__b__170.05.wav	qa-cua-small-json/pa-016__b__170_05.json	pendent-audicio
pa-017	bé	112.25-118.15	clips/pa-017__b__112.25.wav	qa-cua-small-json/pa-017__b__112_25.json	pendent-audicio
pa-018	bé	210.65-215.47	clips/pa-018__b__210.65.wav	qa-cua-small-json/pa-018__b__210_65.json	pendent-audicio
pa-019	bé	195.25-201.75	clips/pa-019__b__195.25.wav	qa-cua-small-json/pa-019__b__195_25.json	pendent-audicio
pa-020	bé	146.37-152.31	clips/pa-020__b__146.37.wav	qa-cua-small-json/pa-020__b__146_37.json	pendent-audicio
pa-021	bé	257.61-263.59	clips/pa-021__b__257.61.wav	qa-cua-small-json/pa-021__b__257_61.json	pendent-audicio
pa-022	bé	270.45-275.35	clips/pa-022__b__270.45.wav	qa-cua-small-json/pa-022__b__270_45.json	pendent-audicio
pa-023	bé	409.37-413.47	clips/pa-023__b__409.37.wav	qa-cua-small-json/pa-023__b__409_37.json	pendent-audicio
pa-024	bé	175.29-180.79	clips/pa-024__b__175.29.wav	qa-cua-small-json/pa-024__b__175_29.json	pendent-audicio
pa-025	bé	1023.77-1027.67	clips/pa-025__b__1023.77.wav	qa-cua-small-json/pa-025__b__1023_77.json	pendent-audicio
pa-026	bé	99.97-103.47	clips/pa-026__b__99.97.wav	qa-cua-small-json/pa-026__b__99_97.json	pendent-audicio
pa-027	bé	30.97-36.55	clips/pa-027__b__30.97.wav	qa-cua-small-json/pa-027__b__30_97.json	pendent-audicio
pa-028	bé	182.49-187.39	clips/pa-028__b__182.49.wav	qa-cua-small-json/pa-028__b__182_49.json	pendent-audicio
pa-029	bé	42.97-46.79	clips/pa-029__b__42.97.wav	qa-cua-small-json/pa-029__b__42_97.json	pendent-audicio
pa-030	bé	436.45-441.63	clips/pa-030__b__436.45.wav	qa-cua-small-json/pa-030__b__436_45.json	pendent-audicio
pa-031	bé	329.13-333.07	clips/pa-031__b__329.13.wav	qa-cua-small-json/pa-031__b__329_13.json	pendent-audicio
pa-032	bé	270.41-274.95	clips/pa-032__b__270.41.wav	qa-cua-small-json/pa-032__b__270_41.json	pendent-audicio
pa-033	bé	103.09-107.43	clips/pa-033__b__103.09.wav	qa-cua-small-json/pa-033__b__103_09.json	pendent-audicio
pa-034	bé	18.85-23.15	clips/pa-034__b__18.85.wav	qa-cua-small-json/pa-034__b__18_85.json	pendent-audicio
pa-035	bé	715.81-720.31	clips/pa-035__b__715.81.wav	qa-cua-small-json/pa-035__b__715_81.json	pendent-audicio
pa-036	bé	69.45-75.15	clips/pa-036__b__69.45.wav	qa-cua-small-json/pa-036__b__69_45.json	pendent-audicio
pa-037	bé	105.29-124.79	clips/pa-037__b__105.29.wav	qa-cua-small-json/pa-037__b__105_29.json	pendent-audicio
pa-038	bé	26.77-31.71	clips/pa-038__b__26.77.wav	qa-cua-small-json/pa-038__b__26_77.json	pendent-audicio
pa-039	bé	27.77-32.03	clips/pa-039__b__27.77.wav	qa-cua-small-json/pa-039__b__27_77.json	pendent-audicio
pa-040	bé	32.81-38.63	clips/pa-040__b__32.81.wav	qa-cua-small-json/pa-040__b__32_81.json	pendent-audicio
pa-041	bé	130.25-137.75	clips/pa-041__b__130.25.wav	qa-cua-small-json/pa-041__b__130_25.json	pendent-audicio
pa-045	bé	83.49-91.43	clips/pa-045__b__83.49.wav	qa-cua-small-json/pa-045__b__83_49.json	pendent-audicio
pa-046	bé	348.81-352.55	clips/pa-046__b__348.81.wav	qa-cua-small-json/pa-046__b__348_81.json	pendent-audicio
pa-048	bé	495.73-502.83	clips/pa-048__b__495.73.wav	qa-cua-small-json/pa-048__b__495_73.json	pendent-audicio
pa-049	bé	74.21-82.63	clips/pa-049__b__74.21.wav	qa-cua-small-json/pa-049__b__74_21.json	pendent-audicio
pa-053	bé	90.81-95.91	clips/pa-053__b__90.81.wav	qa-cua-small-json/pa-053__b__90_81.json	pendent-audicio
pa-054	bé	128.77-134.43	clips/pa-054__b__128.77.wav	qa-cua-small-json/pa-054__b__128_77.json	pendent-audicio
pa-055	bé	358.57-362.07	clips/pa-055__b__358.57.wav	qa-cua-small-json/pa-055__b__358_57.json	pendent-audicio
pa-056	bé	436.49-441.47	clips/pa-056__b__436.49.wav	qa-cua-small-json/pa-056__b__436_49.json	pendent-audicio
pa-057	bé	203.57-209.03	clips/pa-057__b__203.57.wav	qa-cua-small-json/pa-057__b__203_57.json	pendent-audicio
pa-058	bé	210.61-215.39	clips/pa-058__b__210.61.wav	qa-cua-small-json/pa-058__b__210_61.json	pendent-audicio
pa-059	bé	112.41-118.27	clips/pa-059__b__112.41.wav	qa-cua-small-json/pa-059__b__112_41.json	pendent-audicio
pa-060	bé	415.73-419.91	clips/pa-060__b__415.73.wav	qa-cua-small-json/pa-060__b__415_73.json	pendent-audicio
pa-061	bé	662.89-667.43	clips/pa-061__b__662.89.wav	qa-cua-small-json/pa-061__b__662_89.json	pendent-audicio
pa-062	bé	401.61-406.47	clips/pa-062__b__401.61.wav	qa-cua-small-json/pa-062__b__401_61.json	pendent-audicio
pa-063	bé	105.97-110.35	clips/pa-063__b__105.97.wav	qa-cua-small-json/pa-063__b__105_97.json	pendent-audicio
pa-064	bé	97.93-104.11	clips/pa-064__b__97.93.wav	qa-cua-small-json/pa-064__b__97_93.json	pendent-audicio
pa-065	bé	138.57-144.67	clips/pa-065__b__138.57.wav	qa-cua-small-json/pa-065__b__138_57.json	pendent-audicio
pa-066	bé	10.13-15.71	clips/pa-066__b__10.13.wav	qa-cua-small-json/pa-066__b__10_13.json	pendent-audicio
pa-001	de fet	68.49-71.99	clips/pa-001__de-fet__68.49.wav	qa-cua-small-json/pa-001__de-fet__68_49.json	pendent-audicio
pa-002	de fet	72.25-76.75	clips/pa-002__de-fet__72.25.wav	qa-cua-small-json/pa-002__de-fet__72_25.json	pendent-audicio
pa-003	de fet	0.00-7.19	clips/pa-003__de-fet__0.00.wav	qa-cua-small-json/pa-003__de-fet__0_00.json	pendent-audicio
pa-004	de fet	601.17-607.35	clips/pa-004__de-fet__601.17.wav	qa-cua-small-json/pa-004__de-fet__601_17.json	pendent-audicio
pa-006	de fet	285.25-291.75	clips/pa-006__de-fet__285.25.wav	qa-cua-small-json/pa-006__de-fet__285_25.json	pendent-audicio
pa-008	de fet	799.25-804.75	clips/pa-008__de-fet__799.25.wav	qa-cua-small-json/pa-008__de-fet__799_25.json	pendent-audicio
pa-010	de fet	647.25-652.75	clips/pa-010__de-fet__647.25.wav	qa-cua-small-json/pa-010__de-fet__647_25.json	pendent-audicio
pa-011	de fet	557.25-561.31	clips/pa-011__de-fet__557.25.wav	qa-cua-small-json/pa-011__de-fet__557_25.json	pendent-audicio
pa-016	de fet	318.53-324.03	clips/pa-016__de-fet__318.53.wav	qa-cua-small-json/pa-016__de-fet__318_53.json	pendent-audicio
pa-022	de fet	420.21-424.71	clips/pa-022__de-fet__420.21.wav	qa-cua-small-json/pa-022__de-fet__420_21.json	pendent-audicio
pa-023	de fet	72.49-78.31	clips/pa-023__de-fet__72.49.wav	qa-cua-small-json/pa-023__de-fet__72_49.json	pendent-audicio
pa-024	de fet	482.25-489.07	clips/pa-024__de-fet__482.25.wav	qa-cua-small-json/pa-024__de-fet__482_25.json	pendent-audicio
pa-025	de fet	890.85-894.31	clips/pa-025__de-fet__890.85.wav	qa-cua-small-json/pa-025__de-fet__890_85.json	pendent-audicio
pa-027	de fet	109.45-115.11	clips/pa-027__de-fet__109.45.wav	qa-cua-small-json/pa-027__de-fet__109_45.json	pendent-audicio
pa-028	de fet	31.17-37.07	clips/pa-028__de-fet__31.17.wav	qa-cua-small-json/pa-028__de-fet__31_17.json	pendent-audicio
pa-031	de fet	9.93-14.23	clips/pa-031__de-fet__9.93.wav	qa-cua-small-json/pa-031__de-fet__9_93.json	pendent-audicio
pa-033	de fet	249.69-252.55	clips/pa-033__de-fet__249.69.wav	qa-cua-small-json/pa-033__de-fet__249_69.json	pendent-audicio
