id_persona	forma	clip	occurrence	local_start_s	local_end_s	absolute_start_s	absolute_end_s	prob_min	text
pa-002	bé	clips/pa-002__b__348.25.wav	1	3.800	3.950	352.050	352.200	0.2970	bé
pa-003	bé	clips/pa-003__b__0.00.wav	1	0.100	0.400	0.100	0.400	0.3207	Bé
pa-004	bé	clips/pa-004__b__319.61.wav	1	1.280	1.540	320.890	321.150	0.9828	bé
pa-005	bé	clips/pa-005__b__51.09.wav	1	1.520	2.000	52.610	53.090	0.9921	bé
pa-006	bé	clips/pa-006__b__151.25.wav	1	3.350	3.600	154.600	154.850	0.8041	bé
pa-007	bé	clips/pa-007__b__59.25.wav	1	0.670	0.930	59.920	60.180	0.6477	bé
pa-008	bé	clips/pa-008__b__61.25.wav	1	1.890	2.020	63.140	63.270	0.4059	bé
pa-009	bé	clips/pa-009__b__557.25.wav	1	3.060	3.430	560.310	560.680	0.9969	bé
pa-011	bé	clips/pa-011__b__185.57.wav	1	2.920	2.940	188.490	188.510	0.9983	bé
pa-012	bé	clips/pa-012__b__160.25.wav	1	0.200	0.280	160.450	160.530	0.5550	bé
pa-013	bé	clips/pa-013__b__196.65.wav	1	1.120	1.310	197.770	197.960	0.9863	bé
pa-014	bé	clips/pa-014__b__165.65.wav	1	0.000	0.330	165.650	165.980	0.5972	Bé
pa-015	bé	clips/pa-015__b__42.25.wav	1	1.400	1.790	43.650	44.040	0.5589	Bé
pa-016	bé	clips/pa-016__b__170.05.wav	1	5.940	6.280	175.990	176.330	0.9990	bé
pa-019	bé	clips/pa-019__b__195.25.wav	1	5.410	5.600	200.660	200.850	0.9932	bé
pa-020	bé	clips/pa-020__b__146.37.wav	1	3.090	3.410	149.460	149.780	0.9976	bé
pa-026	bé	clips/pa-026__b__99.97.wav	1	0.160	0.400	100.130	100.370	0.9415	bé
pa-028	bé	clips/pa-028__b__182.49.wav	1	3.030	3.120	185.520	185.610	0.9916	bé
pa-032	bé	clips/pa-032__b__270.41.wav	1	3.120	3.250	273.530	273.660	0.7044	bé
pa-033	bé	clips/pa-033__b__103.09.wav	1	0.970	1.210	104.060	104.300	0.9744	bé
pa-033	bé	clips/pa-033__b__103.09.wav	2	3.070	3.190	106.160	106.280	0.9997	bé
pa-034	bé	clips/pa-034__b__18.85.wav	1	1.200	1.430	20.050	20.280	0.8242	bé
pa-036	bé	clips/pa-036__b__69.45.wav	1	2.510	2.720	71.960	72.170	0.9995	bé
pa-037	bé	clips/pa-037__b__105.29.wav	1	10.530	11.500	115.820	116.790	0.9336	bé
pa-037	bé	clips/pa-037__b__105.29.wav	2	13.190	13.860	118.480	119.150	0.4035	bé
pa-037	bé	clips/pa-037__b__105.29.wav	3	14.960	15.390	120.250	120.680	0.9620	bé
pa-037	bé	clips/pa-037__b__105.29.wav	4	15.890	16.210	121.180	121.500	0.9723	bé
pa-037	bé	clips/pa-037__b__105.29.wav	5	18.490	18.660	123.780	123.950	0.3064	bé
pa-038	bé	clips/pa-038__b__26.77.wav	1	0.810	1.000	27.580	27.770	0.9083	bé
pa-039	bé	clips/pa-039__b__27.77.wav	1	3.220	3.270	30.990	31.040	0.9914	bé
pa-041	bé	clips/pa-041__b__130.25.wav	1	0.000	0.440	130.250	130.690	0.2875	Bé
pa-045	bé	clips/pa-045__b__83.49.wav	1	0.090	0.360	83.580	83.850	0.6354	bé
pa-046	bé	clips/pa-046__b__348.81.wav	1	2.320	2.560	351.130	351.370	0.8391	bé
pa-048	bé	clips/pa-048__b__495.73.wav	1	0.000	1.190	495.730	496.920	0.6658	Bé
pa-049	bé	clips/pa-049__b__74.21.wav	1	7.000	7.000	81.210	81.210	0.8685	bé
pa-057	bé	clips/pa-057__b__203.57.wav	1	1.690	2.000	205.260	205.570	0.8791	bé
pa-061	bé	clips/pa-061__b__662.89.wav	1	1.920	2.000	664.810	664.890	0.4650	bé
pa-063	bé	clips/pa-063__b__105.97.wav	1	0.000	0.330	105.970	106.300	0.5648	Bé
pa-064	bé	clips/pa-064__b__97.93.wav	1	0.000	0.430	97.930	98.360	0.6509	Bé
pa-065	bé	clips/pa-065__b__138.57.wav	1	1.470	1.770	140.040	140.340	0.9995	bé
