id_persona	forma	clip	occurrence	local_start_s	local_end_s	absolute_start_s	absolute_end_s	prob_min	text
pa-001	evidentment	clips/pa-001__evidentment__1067.69.wav	1	1.410	2.200	1069.100	1069.890	0.6919	evidentment
pa-002	evidentment	clips/pa-002__evidentment__205.25.wav	1	0.610	1.710	205.860	206.960	0.5905	evidentment
pa-003	tirar endavant	clips/pa-003__tirar-endavant__361.93.wav	1	0.980	2.000	362.910	363.930	0.7977	tirar endavant
pa-004	evidentment	clips/pa-004__evidentment__522.93.wav	1	3.840	4.000	526.770	526.930	0.9396	evidentment
pa-006	de fet	clips/pa-006__de-fet__285.25.wav	1	1.600	2.100	286.850	287.350	0.7151	de fet
pa-006	aleshores	clips/pa-006__aleshores__513.25.wav	1	0.030	0.570	513.280	513.820	0.1618	Aleshores
pa-007	a veure	clips/pa-007__a-veure__89.25.wav	1	0.970	1.470	90.220	90.720	0.9386	a veure
pa-007	diguem	clips/pa-007__diguem__585.25.wav	1	1.190	1.400	586.440	586.650	0.5012	diguem
pa-008	a veure	clips/pa-008__a-veure__668.25.wav	1	1.810	2.490	670.060	670.740	0.9329	a veure
pa-008	aleshores	clips/pa-008__aleshores__1315.25.wav	1	1.000	1.470	1316.250	1316.720	0.3096	Aleshores
pa-009	bé	clips/pa-009__b__557.25.wav	1	3.430	3.680	560.680	560.930	0.9886	bé
pa-009	evidentment	clips/pa-009__evidentment__947.25.wav	1	0.910	1.680	948.160	948.930	0.4761	evidentment
pa-010	clar	clips/pa-010__clar__334.85.wav	1	3.300	3.450	338.150	338.300	0.8078	clar
pa-011	bé	clips/pa-011__b__185.57.wav	1	2.370	2.470	187.940	188.040	0.9981	bé
pa-014	o sigui	clips/pa-014__o-sigui__658.45.wav	1	3.600	4.040	662.050	662.490	0.3085	o sigui
pa-015	doncs	clips/pa-015__doncs__83.25.wav	1	1.090	1.350	84.340	84.600	0.7675	doncs
pa-016	clar	clips/pa-016__clar__175.69.wav	1	2.550	3.000	178.240	178.690	0.7159	clar
pa-017	clar	clips/pa-017__clar__34.45.wav	1	2.700	3.290	37.150	37.740	0.9178	clar
pa-017	doncs	clips/pa-017__doncs__459.25.wav	1	1.340	1.740	460.590	460.990	0.8353	doncs
pa-018	crec	clips/pa-018__crec__7.49.wav	1	1.240	1.610	8.730	9.100	0.9970	crec
pa-018	perquè	clips/pa-018__perqu__91.09.wav	1	0.730	1.180	91.820	92.270	0.2842	perquè
pa-019	a nivell	clips/pa-019__a-nivell__122.25.wav	1	3.200	3.620	125.450	125.870	0.8382	a nivell
pa-020	aviam	clips/pa-020__aviam__252.21.wav	1	2.380	2.900	254.590	255.110	0.1295	aviam
pa-021	crec	clips/pa-021__crec__115.53.wav	1	0.180	0.440	115.710	115.970	0.9899	crec
pa-021	vull dir	clips/pa-021__vull-dir__314.29.wav	1	3.510	4.600	317.800	318.890	0.8193	vull dir
pa-022	clar	clips/pa-022__clar__107.73.wav	1	1.430	1.580	109.160	109.310	0.9678	clar
pa-022	reformeta	clips/pa-022__reformeta__125.53.wav	1	0.800	1.700	126.330	127.230	0.9087	reformeta
pa-024	crec	clips/pa-024__crec__368.01.wav	1	0.340	1.030	368.350	369.040	0.9878	crec
pa-025	diguem	clips/pa-025__diguem__500.89.wav	1	3.150	3.620	504.040	504.510	0.4147	diguem
pa-026	reformeta	clips/pa-026__reformeta__138.61.wav	1	3.470	4.430	142.080	143.040	0.9784	reformeta
pa-027	és a dir	clips/pa-027__s-a-dir__185.61.wav	1	2.000	2.580	187.610	188.190	0.0979	és a dir
pa-028	doncs	clips/pa-028__doncs__329.33.wav	1	0.000	0.360	329.330	329.690	0.0937	Doncs
pa-029	tirar endavant	clips/pa-029__tirar-endavant__56.73.wav	1	4.880	5.370	61.610	62.100	0.6249	tirar endavant
pa-030	tirar endavant	clips/pa-030__tirar-endavant__185.61.wav	1	1.470	2.430	187.080	188.040	0.5971	tirar endavant
pa-030	vull dir	clips/pa-030__vull-dir__842.69.wav	1	0.750	1.800	843.440	844.490	0.5334	vull dir
pa-031	de fet	clips/pa-031__de-fet__9.93.wav	1	0.120	0.720	10.050	10.650	0.3602	de fet
pa-032	bueno	clips/pa-032__bueno__44.73.wav	1	0.070	0.440	44.800	45.170	0.2786	bueno
pa-032	aleshores	clips/pa-032__aleshores__79.09.wav	1	2.250	3.030	81.340	82.120	0.1872	aleshores
pa-033	de fet	clips/pa-033__de-fet__249.69.wav	1	0.930	1.350	250.620	251.040	0.6256	de fet
pa-034	a veure	clips/pa-034__a-veure__94.05.wav	1	2.320	3.000	96.370	97.050	0.3355	a veure
pa-034	diguem	clips/pa-034__diguem__504.45.wav	1	2.000	2.380	506.450	506.830	0.3271	diguem
pa-036	evidentment	clips/pa-036__evidentment__202.85.wav	1	4.920	5.560	207.770	208.410	0.3747	evidentment
pa-036	a nivell	clips/pa-036__a-nivell__386.45.wav	1	7.450	8.040	393.900	394.490	0.8840	a nivell
pa-038	vull dir	clips/pa-038__vull-dir__1576.57.wav	1	3.690	4.440	1580.260	1581.010	0.6515	vull dir
pa-038	reformeta	clips/pa-038__reformeta__1821.69.wav	1	3.230	3.970	1824.920	1825.660	0.9914	reformeta
pa-040	de fet	clips/pa-040__de-fet__70.17.wav	1	2.030	2.060	72.200	72.230	0.6490	de fet
pa-041	vull dir	clips/pa-041__vull-dir__264.25.wav	1	0.290	1.130	264.540	265.380	0.2244	vull dir
pa-041	ensenyança	clips/pa-041__ensenyan-a__523.25.wav	1	7.000	7.000	530.250	530.250	0.5361	ensenyança
pa-042	perquè	clips/pa-042__perqu__29.13.wav	1	2.100	2.440	31.230	31.570	0.5302	perquè
pa-043	crec	clips/pa-043__crec__102.25.wav	1	5.000	5.240	107.250	107.490	0.9936	crec
pa-045	evidentment	clips/pa-045__evidentment__290.13.wav	1	1.000	1.750	291.130	291.880	0.5521	evidentment
pa-046	diguem	clips/pa-046__diguem__626.01.wav	1	1.980	2.410	627.990	628.420	0.3353	diguem
pa-048	crec	clips/pa-048__crec__110.97.wav	1	2.490	2.610	113.460	113.580	0.9820	crec
pa-048	a nivell	clips/pa-048__a-nivell__435.77.wav	1	3.800	4.240	439.570	440.010	0.3484	a nivell
pa-049	a veure	clips/pa-049__a-veure__244.85.wav	1	8.420	8.600	253.270	253.450	0.5898	a veure
pa-051	crec	clips/pa-051__crec__208.57.wav	1	0.120	0.370	208.690	208.940	0.9472	crec
pa-053	perquè	clips/pa-053__perqu__113.93.wav	1	2.000	2.710	115.930	116.640	0.4895	perquè
pa-054	bueno	clips/pa-054__bueno__51.69.wav	1	0.790	0.910	52.480	52.600	0.9223	bueno
pa-055	reformeta	clips/pa-055__reformeta__139.05.wav	1	2.850	3.800	141.900	142.850	0.9761	reformeta
pa-056	vull dir	clips/pa-056__vull-dir__842.65.wav	1	0.750	1.800	843.400	844.450	0.6352	vull dir
pa-057	tirar endavant	clips/pa-057__tirar-endavant__56.61.wav	1	5.150	5.800	61.760	62.410	0.6046	tirar endavant
pa-058	perquè	clips/pa-058__perqu__91.09.wav	1	1.530	1.890	92.620	92.980	0.9219	perquè
pa-059	clar	clips/pa-059__clar__36.61.wav	1	1.580	1.730	38.190	38.340	0.9126	clar
pa-060	de fet	clips/pa-060__de-fet__72.57.wav	1	4.000	4.850	76.570	77.420	0.3825	de fet
pa-062	és a dir	clips/pa-062__s-a-dir__973.65.wav	1	2.000	2.440	975.650	976.090	0.2861	és a dir
pa-063	crec	clips/pa-063__crec__758.81.wav	1	2.800	3.010	761.610	761.820	0.9937	crec
pa-063	o sigui	clips/pa-063__o-sigui__826.09.wav	1	0.000	0.540	826.090	826.630	0.0141	O sigui
pa-065	bé	clips/pa-065__b__138.57.wav	1	1.380	1.710	139.950	140.280	0.2481	bé
pa-065	doncs	clips/pa-065__doncs__157.49.wav	1	2.240	2.270	159.730	159.760	0.5466	doncs
pa-066	bueno	clips/pa-066__bueno__357.23.wav	1	2.000	2.020	359.230	359.250	0.6883	bueno
