id_clip	transcripcio	segments	caracters	repeticio_trigramas	estat
pa-044__0000	pa-044__0000.txt	9	350	0.8866	bucle-asr
pa-044__0020	pa-044__0020.txt	4	216	0.0000	text-localitzable
pa-044__0040	pa-044__0040.txt	2	104	0.0000	text-localitzable
pa-044__0060	pa-044__0060.txt	5	186	0.0357	text-localitzable
pa-044__0080	pa-044__0080.txt	6	181	0.0000	text-localitzable
pa-044__0100	pa-044__0100.txt	5	248	0.0238	text-localitzable
pa-044__0120	pa-044__0120.txt	5	276	0.0000	text-localitzable
pa-044__0140	pa-044__0140.txt	6	271	0.0000	text-localitzable
pa-044__0160	pa-044__0160.txt	6	265	0.0000	text-localitzable
pa-044__0180	pa-044__0180.txt	6	269	0.8039	bucle-asr
pa-044__0200	pa-044__0200.txt	8	283	0.0000	text-localitzable
pa-044__0220	pa-044__0220.txt	6	255	0.1042	text-localitzable
pa-044__0240	pa-044__0240.txt	5	219	0.0000	text-localitzable
pa-044__0260	pa-044__0260.txt	7	319	0.0339	text-localitzable
pa-044__0280	pa-044__0280.txt	9	326	0.1429	text-localitzable
pa-044__0300	pa-044__0300.txt	7	321	0.0149	text-localitzable
pa-044__0320	pa-044__0320.txt	1	779	0.9631	bucle-asr
pa-044__0340	pa-044__0340.txt	6	260	0.0204	text-localitzable
pa-044__0360	pa-044__0360.txt	6	269	0.0000	text-localitzable
pa-044__0380	pa-044__0380.txt	5	272	0.0385	text-localitzable
pa-044__0400	pa-044__0400.txt	7	291	0.0000	text-localitzable
pa-044__0420	pa-044__0420.txt	6	305	0.0000	text-localitzable
pa-044__0440	pa-044__0440.txt	6	215	0.0000	text-localitzable
pa-044__0460	pa-044__0460.txt	1	492	0.9752	bucle-asr
pa-044__0480	pa-044__0480.txt	7	289	0.0000	text-localitzable
pa-044__0500	pa-044__0500.txt	9	425	0.0000	text-localitzable
pa-044__0520	pa-044__0520.txt	6	261	0.0213	text-localitzable
pa-044__0540	pa-044__0540.txt	7	283	0.0000	text-localitzable
pa-044__0560	pa-044__0560.txt	6	277	0.0727	text-localitzable
pa-044__0580	pa-044__0580.txt	9	539	0.9661	bucle-asr
pa-044__0600	pa-044__0600.txt	1	14	0.0000	text-localitzable
pa-044__0620	pa-044__0620.txt	2	127	0.3529	text-localitzable
pa-044__0640	pa-044__0640.txt	3	549	0.8119	bucle-asr
pa-044__0660	pa-044__0660.txt	5	262	0.0400	text-localitzable
pa-044__0680	pa-044__0680.txt	6	294	0.0189	text-localitzable
pa-044__0700	pa-044__0700.txt	1	50	0.6154	bucle-asr
pa-044__0720	pa-044__0720.txt	6	286	0.1333	text-localitzable
pa-044__0740	pa-044__0740.txt	5	290	0.1404	text-localitzable
pa-044__0760	pa-044__0760.txt	6	298	0.0000	text-localitzable
pa-044__0780	pa-044__0780.txt	7	331	0.0000	text-localitzable
pa-044__0800	pa-044__0800.txt	5	304	0.0175	text-localitzable
pa-044__0820	pa-044__0820.txt	3	162	0.0000	text-localitzable
pa-044__0840	pa-044__0840.txt	1	55	0.2000	text-localitzable
pa-044__0860	pa-044__0860.txt	9	273	0.0000	text-localitzable
pa-044__0880	pa-044__0880.txt	3	76	0.0000	text-localitzable
pa-044__0900	pa-044__0900.txt	4	206	0.0000	text-localitzable
pa-044__0920	pa-044__0920.txt	6	220	0.0000	text-localitzable
pa-044__0940	pa-044__0940.txt	8	386	0.0476	text-localitzable
pa-044__0960	pa-044__0960.txt	6	233	0.0000	text-localitzable
pa-044__0980	pa-044__0980.txt	1	42	0.0000	text-localitzable
pa-044__1000	pa-044__1000.txt	1	1094	0.9862	bucle-asr
pa-044__1020	pa-044__1020.txt	7	280	0.0000	text-localitzable
pa-044__1040	pa-044__1040.txt	7	325	0.0000	text-localitzable
pa-044__1060	pa-044__1060.txt	6	282	0.0417	text-localitzable
pa-044__1080	pa-044__1080.txt	7	247	0.0000	text-localitzable
pa-044__1100	pa-044__1100.txt	3	549	0.7583	bucle-asr
pa-044__1120	pa-044__1120.txt	7	328	0.0169	text-localitzable
pa-044__1140	pa-044__1140.txt	6	260	0.0444	text-localitzable
pa-044__1160	pa-044__1160.txt	1	484	0.8977	bucle-asr
pa-044__1180	pa-044__1180.txt	5	272	0.1176	text-localitzable
pa-044__1200	pa-044__1200.txt	5	270	0.0943	text-localitzable
pa-044__1220	pa-044__1220.txt	6	271	0.0000	text-localitzable
pa-044__1240	pa-044__1240.txt	5	226	0.0000	text-localitzable
pa-044__1260	pa-044__1260.txt	6	252	0.0000	text-localitzable
pa-044__1280	pa-044__1280.txt	8	335	0.0923	text-localitzable
pa-044__1300	pa-044__1300.txt	4	165	0.0000	text-localitzable
pa-044__1320	pa-044__1320.txt	5	215	0.1111	text-localitzable
pa-044__1340	pa-044__1340.txt	3	152	0.0000	text-localitzable
pa-044__1360	pa-044__1360.txt	4	533	0.6105	bucle-asr
pa-044__1380	pa-044__1380.txt	7	307	0.1930	text-localitzable
pa-044__1400	pa-044__1400.txt	1	765	0.9669	bucle-asr
pa-044__1420	pa-044__1420.txt	6	258	0.0196	text-localitzable
pa-044__1440	pa-044__1440.txt	9	305	0.0000	text-localitzable
pa-044__1460	pa-044__1460.txt	5	204	0.1136	text-localitzable
