id_persona	forma	categoria	ocurrencies_asr_20s	estat
pa-044	Canillo	territorial	0	candidat ASR; pendent d'audicio
pa-044	Escaldes	territorial	0	candidat ASR; pendent d'audicio
pa-044	Massana	territorial	0	candidat ASR; pendent d'audicio
pa-044	Ordino	territorial	0	candidat ASR; pendent d'audicio
pa-044	Sant Julià	territorial	0	candidat ASR; pendent d'audicio
pa-044	a nivell	discurs	0	candidat ASR; pendent d'audicio
pa-044	a veure	discurs	3	candidat ASR; pendent d'audicio
pa-044	aiguats	territorial	0	candidat ASR; pendent d'audicio
pa-044	aleshores	discurs	1	candidat ASR; pendent d'audicio
pa-044	andorrana	territorial	0	candidat ASR; pendent d'audicio
pa-044	aviam	discurs	0	candidat ASR; pendent d'audicio
pa-044	bueno	discurs	9	candidat ASR; pendent d'audicio
pa-044	bé	discurs	9	candidat ASR; pendent d'audicio
pa-044	clar	discurs	2	candidat ASR; pendent d'audicio
pa-044	comunal	territorial	0	candidat ASR; pendent d'audicio
pa-044	comunals	territorial	0	candidat ASR; pendent d'audicio
pa-044	comuns	territorial	0	candidat ASR; pendent d'audicio
pa-044	comú	territorial	0	candidat ASR; pendent d'audicio
pa-044	copríncep	territorial	0	candidat ASR; pendent d'audicio
pa-044	coprínceps	territorial	0	candidat ASR; pendent d'audicio
pa-044	de fet	discurs	0	candidat ASR; pendent d'audicio
pa-044	diguem	discurs	0	candidat ASR; pendent d'audicio
pa-044	doncs	discurs	3	candidat ASR; pendent d'audicio
pa-044	evidentment	discurs	0	candidat ASR; pendent d'audicio
pa-044	llavors	discurs	2	candidat ASR; pendent d'audicio
pa-044	no?	discurs	2	candidat ASR; pendent d'audicio
pa-044	o sigui	discurs	6	candidat ASR; pendent d'audicio
pa-044	padrí	territorial	0	candidat ASR; pendent d'audicio
pa-044	parròquia	territorial	0	candidat ASR; pendent d'audicio
pa-044	per tant	discurs	0	candidat ASR; pendent d'audicio
pa-044	perquè	discurs	16	candidat ASR; pendent d'audicio
pa-044	santuari	territorial	0	candidat ASR; pendent d'audicio
pa-044	veguer	territorial	1	candidat ASR; pendent d'audicio
pa-044	vull dir	discurs	2	candidat ASR; pendent d'audicio
pa-044	és a dir	discurs	0	candidat ASR; pendent d'audicio
pa-047	Canillo	territorial	0	candidat ASR; pendent d'audicio
pa-047	Escaldes	territorial	0	candidat ASR; pendent d'audicio
pa-047	Massana	territorial	0	candidat ASR; pendent d'audicio
pa-047	Ordino	territorial	0	candidat ASR; pendent d'audicio
pa-047	Sant Julià	territorial	0	candidat ASR; pendent d'audicio
pa-047	a nivell	discurs	1	candidat ASR; pendent d'audicio
pa-047	a veure	discurs	1	candidat ASR; pendent d'audicio
pa-047	aiguats	territorial	0	candidat ASR; pendent d'audicio
pa-047	aleshores	discurs	0	candidat ASR; pendent d'audicio
pa-047	andorrana	territorial	0	candidat ASR; pendent d'audicio
pa-047	aviam	discurs	0	candidat ASR; pendent d'audicio
pa-047	bueno	discurs	2	candidat ASR; pendent d'audicio
pa-047	bé	discurs	4	candidat ASR; pendent d'audicio
pa-047	clar	discurs	0	candidat ASR; pendent d'audicio
pa-047	comunal	territorial	0	candidat ASR; pendent d'audicio
pa-047	comunals	territorial	0	candidat ASR; pendent d'audicio
pa-047	comuns	territorial	0	candidat ASR; pendent d'audicio
pa-047	comú	territorial	0	candidat ASR; pendent d'audicio
pa-047	copríncep	territorial	0	candidat ASR; pendent d'audicio
pa-047	coprínceps	territorial	0	candidat ASR; pendent d'audicio
pa-047	de fet	discurs	0	candidat ASR; pendent d'audicio
pa-047	diguem	discurs	1	candidat ASR; pendent d'audicio
pa-047	doncs	discurs	0	candidat ASR; pendent d'audicio
pa-047	evidentment	discurs	0	candidat ASR; pendent d'audicio
pa-047	llavors	discurs	1	candidat ASR; pendent d'audicio
pa-047	no?	discurs	0	candidat ASR; pendent d'audicio
pa-047	o sigui	discurs	0	candidat ASR; pendent d'audicio
pa-047	padrí	territorial	0	candidat ASR; pendent d'audicio
pa-047	parròquia	territorial	0	candidat ASR; pendent d'audicio
pa-047	per tant	discurs	4	candidat ASR; pendent d'audicio
pa-047	perquè	discurs	13	candidat ASR; pendent d'audicio
pa-047	santuari	territorial	0	candidat ASR; pendent d'audicio
pa-047	veguer	territorial	0	candidat ASR; pendent d'audicio
pa-047	vull dir	discurs	1	candidat ASR; pendent d'audicio
pa-047	és a dir	discurs	0	candidat ASR; pendent d'audicio
pa-050	Canillo	territorial	0	candidat ASR; pendent d'audicio
pa-050	Escaldes	territorial	1	candidat ASR; pendent d'audicio
pa-050	Massana	territorial	0	candidat ASR; pendent d'audicio
pa-050	Ordino	territorial	0	candidat ASR; pendent d'audicio
pa-050	Sant Julià	territorial	0	candidat ASR; pendent d'audicio
pa-050	a nivell	discurs	3	candidat ASR; pendent d'audicio
pa-050	a veure	discurs	0	candidat ASR; pendent d'audicio
pa-050	aiguats	territorial	0	candidat ASR; pendent d'audicio
pa-050	aleshores	discurs	1	candidat ASR; pendent d'audicio
pa-050	andorrana	territorial	0	candidat ASR; pendent d'audicio
pa-050	aviam	discurs	0	candidat ASR; pendent d'audicio
pa-050	bueno	discurs	1	candidat ASR; pendent d'audicio
pa-050	bé	discurs	5	candidat ASR; pendent d'audicio
pa-050	clar	discurs	2	candidat ASR; pendent d'audicio
pa-050	comunal	territorial	0	candidat ASR; pendent d'audicio
pa-050	comunals	territorial	0	candidat ASR; pendent d'audicio
pa-050	comuns	territorial	0	candidat ASR; pendent d'audicio
pa-050	comú	territorial	0	candidat ASR; pendent d'audicio
pa-050	copríncep	territorial	0	candidat ASR; pendent d'audicio
pa-050	coprínceps	territorial	0	candidat ASR; pendent d'audicio
pa-050	de fet	discurs	5	candidat ASR; pendent d'audicio
pa-050	diguem	discurs	0	candidat ASR; pendent d'audicio
pa-050	doncs	discurs	9	candidat ASR; pendent d'audicio
pa-050	evidentment	discurs	1	candidat ASR; pendent d'audicio
pa-050	llavors	discurs	3	candidat ASR; pendent d'audicio
pa-050	no?	discurs	6	candidat ASR; pendent d'audicio
pa-050	o sigui	discurs	0	candidat ASR; pendent d'audicio
pa-050	padrí	territorial	0	candidat ASR; pendent d'audicio
pa-050	parròquia	territorial	0	candidat ASR; pendent d'audicio
