id_persona	inici_s	durada_s	clip	transcripcio	vtt	json	sha256	linies	linies_uniques	ratio_uniques	estat
pa-044	0	20.000	clips-quarantena-20s/pa-044__0000.wav	qa-quarantena-20s/pa-044__0000.txt	qa-quarantena-20s/pa-044__0000.vtt	qa-quarantena-20s/pa-044__0000.json	aa56992b9be773de74a4083cf19a4b0ca26655b8fbf61693d62d302e065bf56e	9	1	0.1111	pendent-audicio
pa-044	20	20.000	clips-quarantena-20s/pa-044__0020.wav	qa-quarantena-20s/pa-044__0020.txt	qa-quarantena-20s/pa-044__0020.vtt	qa-quarantena-20s/pa-044__0020.json	7b86fa03a1b3dfaf8bce47e0ca2f733802c89cc6b096b5de8459b216c92a63c1	4	4	1.0000	pendent-audicio
pa-044	40	20.000	clips-quarantena-20s/pa-044__0040.wav	qa-quarantena-20s/pa-044__0040.txt	qa-quarantena-20s/pa-044__0040.vtt	qa-quarantena-20s/pa-044__0040.json	c9bd4171e9d3efd56c47dbc755a1c265db073d66a45e6f085fe4b0653aca3372	2	2	1.0000	pendent-audicio
pa-044	60	20.000	clips-quarantena-20s/pa-044__0060.wav	qa-quarantena-20s/pa-044__0060.txt	qa-quarantena-20s/pa-044__0060.vtt	qa-quarantena-20s/pa-044__0060.json	2b21c5c9f4a43a4ebfc237fb3f5cd87447b7ad417b5bb7a70742a3e56b535a97	5	5	1.0000	pendent-audicio
pa-044	80	20.000	clips-quarantena-20s/pa-044__0080.wav	qa-quarantena-20s/pa-044__0080.txt	qa-quarantena-20s/pa-044__0080.vtt	qa-quarantena-20s/pa-044__0080.json	3d2f837a80b9d2ef35b9b9d61053f8d88819642feb774553ab30f38ea7068223	6	6	1.0000	pendent-audicio
pa-044	100	20.000	clips-quarantena-20s/pa-044__0100.wav	qa-quarantena-20s/pa-044__0100.txt	qa-quarantena-20s/pa-044__0100.vtt	qa-quarantena-20s/pa-044__0100.json	51e0f2fe05718ad31ad60ae1555cb087ba14b2b9eb0b1cfaa038b82fdcb26d9b	5	5	1.0000	pendent-audicio
pa-044	120	20.000	clips-quarantena-20s/pa-044__0120.wav	qa-quarantena-20s/pa-044__0120.txt	qa-quarantena-20s/pa-044__0120.vtt	qa-quarantena-20s/pa-044__0120.json	b6ac7e240f6c00fcd74c1a9590f384dd168f8f623b74aabb93df3e6564136de5	5	5	1.0000	pendent-audicio
pa-044	140	20.000	clips-quarantena-20s/pa-044__0140.wav	qa-quarantena-20s/pa-044__0140.txt	qa-quarantena-20s/pa-044__0140.vtt	qa-quarantena-20s/pa-044__0140.json	7da335fbca2162a4e6c52273b524515d16229ef28bd0abca9bebd38640bc204d	6	6	1.0000	pendent-audicio
pa-044	160	20.000	clips-quarantena-20s/pa-044__0160.wav	qa-quarantena-20s/pa-044__0160.txt	qa-quarantena-20s/pa-044__0160.vtt	qa-quarantena-20s/pa-044__0160.json	2dfc01471196b6fb3c6ed1c3183d8e2143622bb8dee38c19e9d77a37c811cb50	6	6	1.0000	pendent-audicio
pa-044	180	20.000	clips-quarantena-20s/pa-044__0180.wav	qa-quarantena-20s/pa-044__0180.txt	qa-quarantena-20s/pa-044__0180.vtt	qa-quarantena-20s/pa-044__0180.json	95048715fbafbc0d0ea3082a665557a73c3d935bb10def9e3a58a7973b213f64	6	2	0.3333	pendent-audicio
