forma	n_clips	n_parlants	delta_f0_hz_median	delta_f0_z_median	delta_veu_median	delta_centroid_hz_median	delta_pausa_s_median
a nivell	18	18	0.11	0.002	0.0306	-64.49	-0.010
a veure	17	17	6.28	0.057	-0.0345	67.88	0.000
aleshores	4	4	-13.12	-0.110	-0.0981	372.14	0.005
aviam	1	1	2.87	0.039	0.1127	6.05	0.020
bueno	8	8	-0.05	-0.002	-0.0188	51.79	0.010
bé	26	26	8.80	0.065	-0.0075	12.84	0.005
clar	21	21	1.68	0.023	-0.0245	3.75	0.000
crec	28	28	4.21	0.046	-0.0092	38.36	0.000
de fet	12	12	-11.54	-0.141	0.0147	15.15	-0.005
diguem	10	10	7.21	0.058	0.0156	28.36	0.000
doncs	13	13	4.84	0.094	0.0233	36.79	-0.020
ensenyança	1	1	-44.77	-0.341	-0.0027	47.63	0.020
evidentment	19	19	0.50	0.004	-0.0010	27.79	0.000
llavors	4	4	-19.28	-0.147	0.0144	118.27	-0.005
o sigui	8	8	-4.08	-0.081	-0.0254	65.38	0.000
perquè	37	37	-1.63	-0.014	-0.0088	-5.85	0.000
reformeta	6	6	-3.32	-0.019	-0.0504	96.49	0.010
tirar endavant	9	9	-4.59	-0.035	-0.0550	-26.04	0.000
vull dir	12	12	0.28	-0.014	-0.0154	33.03	0.020
és a dir	9	9	-7.46	-0.060	-0.0143	15.57	-0.010
