forma	n_tokens	n_parlants	f0_median_hz	f1_median_hz	f2_median_hz	f3_median_hz
a nivell	3	3	91.45	435.02	1882.96	2587.43
a veure	4	4	156.76	492.62	1769.45	2815.35
aleshores	3	3	107.16	501.21	1760.96	2856.50
aviam	1	1		757.95	2009.85	3266.70
bueno	3	3	155.99	557.28	1587.18	2824.68
bé	3	3	179.20	387.07	1534.03	2378.66
clar	5	5	185.52	673.76	1456.82	3046.10
crec	7	7	131.03	651.98	1752.34	2749.11
de fet	5	5	106.18	459.86	1759.29	2526.09
diguem	4	4	129.94	484.18	1860.48	2658.57
doncs	4	4	174.38	365.13	799.83	2521.43
ensenyança	1	1		677.10	1799.86	2846.69
evidentment	6	6	91.40	471.51	1732.76	2475.62
o sigui	2	2	148.85	422.31	1252.51	2392.61
perquè	4	4	131.80	503.28	1717.12	2597.20
reformeta	4	4	135.98	471.36	1730.87	2642.41
tirar endavant	4	4	105.38	555.53	1730.15	2700.59
vull dir	5	5	205.19	794.29	1894.22	2686.73
és a dir	2	2	98.76	627.98	1819.12	2890.20
