forma	n_points	n_tokens	n_parlants	f0_start_median_hz	f0_end_median_hz	f1_start_median_hz	f1_end_median_hz	f2_start_median_hz	f2_end_median_hz	f3_start_median_hz	f3_end_median_hz	intensity_start_median_db	intensity_end_median_db
a nivell	15	3	3	92.12	127.44	366.08	363.32	1668.07	1670.02	2399.95	2369.95	66.58	62.61
a veure	20	4	4	162.18	132.91	484.45	681.88	1660.17	1469.00	2512.48	2964.46	68.42	65.40
aleshores	15	3	3	118.97		806.96	1265.86	1761.00	2282.77	3101.20	3236.77	51.10	37.92
aviam	5	1	1			791.66	964.91	1800.17	2268.44	2846.16	3237.52	41.85	40.35
bueno	15	3	3	176.09	153.57	559.52	541.78	1701.97	1794.61	2737.02	2970.07	68.88	67.82
bé	15	3	3	138.69	116.49	433.24	459.38	1234.39	1880.14	2508.26	2555.46	66.41	56.83
clar	25	5	5	184.20	184.04	647.67	640.65	1378.82	1464.55	2673.62	2651.69	66.91	66.16
crec	35	7	7	135.58	118.50	646.22	544.69	1677.39	1768.54	2851.74	2729.42	57.79	57.38
de fet	25	5	5	122.84	99.00	377.84	474.71	1872.57	1677.72	2462.68	2714.37	66.13	58.19
diguem	20	4	4	131.88	134.03	362.38	436.35	2079.98	1700.57	2911.47	2615.59	64.30	64.28
doncs	20	4	4	145.17	136.54	381.84	609.77	1823.31	1973.75	2724.62	3361.84	65.31	64.51
ensenyança	5	1	1			670.40	695.76	1792.74	1791.62	2838.88	2860.22	55.78	55.30
evidentment	30	6	6	150.23	90.38	426.23	396.00	1919.91	1513.65	2545.13	2494.12	62.30	61.92
o sigui	10	2	2	150.82	192.42	722.96	1028.74	2406.00	1871.04	3237.61	2944.85	62.00	59.74
perquè	20	4	4	115.43	132.89	455.18	483.69	1311.88	1888.36	2380.48	2853.89	67.45	61.89
reformeta	20	4	4	147.45	147.27	528.54	418.52	1591.95	1834.61	2316.90	2724.82	70.24	65.78
tirar endavant	20	4	4	122.27	125.70	533.62	639.64	1809.58	1541.14	2817.62	2616.90	59.36	62.64
vull dir	25	5	5	155.30	144.44	621.25	409.76	1427.95	2049.06	2492.69	2790.24	42.03	70.13
és a dir	10	2	2		87.08	648.57	438.71	1380.40	1450.03	2330.96	2698.89	53.78	59.90
