ordre_sessio	id_global	origen	persona	forma	clip	prioritat	prob_min	text	motiu	estat	text_small	text_base	rol_provisional	motiu_rol	f0_median_hz	f0_iqr_hz	pausa_mediana_s	f1_hz	f2_hz	f3_hz	estat_instrumental
1	canon::pa-061::evidentment::s06-1	canònic	pa-061	evidentment	clips/pa-061__evidentment__672.69.wav	A-triple-token-fort	0.9005	i després hi havia el factor, evidentment, diferent,  si el deprem clar.	sessió 06: primer clip prioritzat per a un parlant canònic absent de les sessions 01–02 i 05	pendent	sí	sí		segment canònic; el rol es confirma amb l'audició	245.91	104.22	0.080	401.74	1924.77	2365.01	suport automàtic; pendent d'audició
2	canon::pa-029::tirar endavant::s06-2	canònic	pa-029	tirar endavant	clips/pa-029__tirar-endavant__56.73.wav	A-triple-token-fort	0.8813	i que véssim també d'autodisoldre per la incapacitat de poder tirar endavant.	sessió 06: primer clip prioritzat per a un parlant canònic absent de les sessions 01–02 i 05	pendent	sí	sí		segment canònic; el rol es confirma amb l'audició	218.12	174.64	0.060	531.97	1679.56	2495.43	suport automàtic; pendent d'audició
3	canon::pa-015::doncs::s06-3	canònic	pa-015	doncs	clips/pa-015__doncs__83.25.wav	A-triple-token-fort	0.8466	"és important. Doncs per ""és important"" per una senzilla rau."	sessió 06: primer clip prioritzat per a un parlant canònic absent de les sessions 01–02 i 05	pendent	sí	sí		segment canònic; el rol es confirma amb l'audició	224.68	96.84	0.050	1655.08	2889.62	3626.41	suport automàtic; pendent d'audició
4	canon::pa-028::doncs::s06-4	canònic	pa-028	doncs	clips/pa-028__doncs__329.33.wav	A-triple-token-fort	0.8421	i que, igual, doncs conyes que realment té un valor que té constitució.	sessió 06: primer clip prioritzat per a un parlant canònic absent de les sessions 01–02 i 05	pendent	sí	sí		segment canònic; el rol es confirma amb l'audició	142.45	21.92	0.080	208.97	1934.59	2471.57	suport automàtic; pendent d'audició
5	canon::pa-060::de fet::s06-5	canònic	pa-060	de fet	clips/pa-060__de-fet__72.57.wav	A-triple-token-fort	0.8385	d'explicatures que van ocupar 4 anys, de fet.	sessió 06: primer clip prioritzat per a un parlant canònic absent de les sessions 01–02 i 05	pendent	sí	sí		segment canònic; el rol es confirma amb l'audició	149.14	135.36	0.050	492.15	1921.29	2401.89	suport automàtic; pendent d'audició
6	canon::pa-032::bueno::s06-6	canònic	pa-032	bueno	clips/pa-032__bueno__44.73.wav	A-triple-token-fort	0.8330	i bueno, l'últim, la psiquia 4 que ens vam apuntar i vam dir que era capaç.	sessió 06: primer clip prioritzat per a un parlant canònic absent de les sessions 01–02 i 05	pendent	sí	sí		segment canònic; el rol es confirma amb l'audició	214.60	29.55	0.080	761.40	1934.99	2786.85	suport automàtic; pendent d'audició
7	canon::pa-054::bueno::s06-7	canònic	pa-054	bueno	clips/pa-054__bueno__51.69.wav	A-triple-token-fort	0.8263	i, bueno, és el primer pas.	sessió 06: primer clip prioritzat per a un parlant canònic absent de les sessions 01–02 i 05	pendent	sí	sí		segment canònic; el rol es confirma amb l'audició	175.20	166.20	0.070	357.05	2260.92	3340.06	suport automàtic; pendent d'audició
8	canon::pa-063::a nivell::s06-8	canònic	pa-063	a nivell	clips/pa-063__a-nivell__1143.61.wav	B-triple-token-baix	0.7218	que ara farem, que jo crec que ens ajudarà molt a nivell de finances.	sessió 06: primer clip prioritzat per a un parlant canònic absent de les sessions 01–02 i 05	pendent	sí	sí		segment canònic; el rol es confirma amb l'audició	183.16	20.51	0.100	402.79	1702.63	2771.91	suport automàtic; pendent d'audició
9	canon::pa-046::diguem::s06-9	canònic	pa-046	diguem	clips/pa-046__diguem__626.01.wav	B-triple-token-baix	0.6911	A part de les patates o les tronfes, que diguem a Canillo.	sessió 06: primer clip prioritzat per a un parlant canònic absent de les sessions 01–02 i 05	pendent	sí	sí		segment canònic; el rol es confirma amb l'audició	252.75	74.97	0.080	485.41	1411.43	2465.02	suport automàtic; pendent d'audició
10	canon::pa-001::crec::s06-10	canònic	pa-001	crec	clips/pa-001__crec__97.33.wav	B-triple-token-baix		i crec que fina moment em va acabar a forçar bé.	sessió 06: primer clip prioritzat per a un parlant canònic absent de les sessions 01–02 i 05	pendent	sí	sí		segment canònic; el rol es confirma amb l'audició	219.23	67.73	0.100				suport automàtic; pendent d'audició
11	canon::pa-002::a nivell::s06-11	canònic	pa-002	a nivell	clips/pa-002__a-nivell__714.25.wav	B-triple-token-baix		perquè l'opció de la minoria que va passar  és ser majoria, diguéssim, a nivell consell,  però no ho eren.	sessió 06: primer clip prioritzat per a un parlant canònic absent de les sessions 01–02 i 05	pendent	sí	sí		segment canònic; el rol es confirma amb l'audició	283.90	130.92	0.060				suport automàtic; pendent d'audició
