idDivision	taula	codi	serie	periode	valor
1466	Accidents viaris	0104050500010001	Accidents viaris	2015	576
1466	Accidents viaris	0104050500010001	Accidents viaris	2016	593
1466	Accidents viaris	0104050500010001	Accidents viaris	2017	523
1466	Accidents viaris	0104050500010001	Accidents viaris	2018	513
1466	Accidents viaris	0104050500010001	Accidents viaris	2019	522
1466	Accidents viaris	0104050500010001	Accidents viaris	2020	419
1466	Accidents viaris	0104050500010001	Accidents viaris	2021	496
1466	Accidents viaris	0104050500010001	Accidents viaris	2022	536
1466	Accidents viaris	0104050500010001	Accidents viaris	2023	438
1466	Accidents viaris	0104050500010001	Accidents viaris	2024	456
1466	Accidents viaris	0104050500010001	Accidents viaris	2025	533
1466	Accidents viaris	0104050500010002	Accidents laborals	2015	1349
1466	Accidents viaris	0104050500010002	Accidents laborals	2016	1495
1466	Accidents viaris	0104050500010002	Accidents laborals	2017	1497
1466	Accidents viaris	0104050500010002	Accidents laborals	2018	1457
1466	Accidents viaris	0104050500010002	Accidents laborals	2019	1603
1466	Accidents viaris	0104050500010002	Accidents laborals	2020	1234
1466	Accidents viaris	0104050500010002	Accidents laborals	2021	1336
1466	Accidents viaris	0104050500010002	Accidents laborals	2022	1354
1466	Accidents viaris	0104050500010002	Accidents laborals	2023	1463
1466	Accidents viaris	0104050500010002	Accidents laborals	2024	1509
1466	Accidents viaris	0104050500010002	Accidents laborals	2025	1302
1466	Accidents viaris	0104050500010003	Accidents totals	2015	1925
1466	Accidents viaris	0104050500010003	Accidents totals	2016	2088
1466	Accidents viaris	0104050500010003	Accidents totals	2017	2020
1466	Accidents viaris	0104050500010003	Accidents totals	2018	1970
1466	Accidents viaris	0104050500010003	Accidents totals	2019	2125
1466	Accidents viaris	0104050500010003	Accidents totals	2020	1653
1466	Accidents viaris	0104050500010003	Accidents totals	2021	1832
1466	Accidents viaris	0104050500010003	Accidents totals	2022	1890
1466	Accidents viaris	0104050500010003	Accidents totals	2023	1901
1466	Accidents viaris	0104050500010003	Accidents totals	2024	1965
1466	Accidents viaris	0104050500010003	Accidents totals	2025	1835
1467	Accidents viaris per tipus	0104050500020001	Accidents viaris per tipus. Altres	2015	553
1467	Accidents viaris per tipus	0104050500020001	Accidents viaris per tipus. Altres	2016	572
1467	Accidents viaris per tipus	0104050500020001	Accidents viaris per tipus. Altres	2017	505
1467	Accidents viaris per tipus	0104050500020001	Accidents viaris per tipus. Altres	2018	489
1467	Accidents viaris per tipus	0104050500020001	Accidents viaris per tipus. Altres	2019	280
1467	Accidents viaris per tipus	0104050500020001	Accidents viaris per tipus. Altres	2020	252
1467	Accidents viaris per tipus	0104050500020001	Accidents viaris per tipus. Altres	2021	298
1467	Accidents viaris per tipus	0104050500020001	Accidents viaris per tipus. Altres	2022	296
1467	Accidents viaris per tipus	0104050500020001	Accidents viaris per tipus. Altres	2023	200
1467	Accidents viaris per tipus	0104050500020001	Accidents viaris per tipus. Altres	2024	188
1467	Accidents viaris per tipus	0104050500020001	Accidents viaris per tipus. Altres	2025	343
1467	Accidents viaris per tipus	0104050500020002	Accidents viaris per tipus. Col·lisió per abast	2015	5
1467	Accidents viaris per tipus	0104050500020002	Accidents viaris per tipus. Col·lisió per abast	2016	2
1467	Accidents viaris per tipus	0104050500020002	Accidents viaris per tipus. Col·lisió per abast	2017	4
1467	Accidents viaris per tipus	0104050500020002	Accidents viaris per tipus. Col·lisió per abast	2018	4
1467	Accidents viaris per tipus	0104050500020002	Accidents viaris per tipus. Col·lisió per abast	2019	97
1467	Accidents viaris per tipus	0104050500020002	Accidents viaris per tipus. Col·lisió per abast	2020	62
1467	Accidents viaris per tipus	0104050500020002	Accidents viaris per tipus. Col·lisió per abast	2021	67
1467	Accidents viaris per tipus	0104050500020002	Accidents viaris per tipus. Col·lisió per abast	2022	88
1467	Accidents viaris per tipus	0104050500020002	Accidents viaris per tipus. Col·lisió per abast	2023	67
1467	Accidents viaris per tipus	0104050500020002	Accidents viaris per tipus. Col·lisió per abast	2024	84
1467	Accidents viaris per tipus	0104050500020002	Accidents viaris per tipus. Col·lisió per abast	2025	35
1467	Accidents viaris per tipus	0104050500020003	Accidents viaris per tipus. Atropellament	2015	15
1467	Accidents viaris per tipus	0104050500020003	Accidents viaris per tipus. Atropellament	2016	16
1467	Accidents viaris per tipus	0104050500020003	Accidents viaris per tipus. Atropellament	2017	9
1467	Accidents viaris per tipus	0104050500020003	Accidents viaris per tipus. Atropellament	2018	12
1467	Accidents viaris per tipus	0104050500020003	Accidents viaris per tipus. Atropellament	2019	51
1467	Accidents viaris per tipus	0104050500020003	Accidents viaris per tipus. Atropellament	2020	37
1467	Accidents viaris per tipus	0104050500020003	Accidents viaris per tipus. Atropellament	2021	42
1467	Accidents viaris per tipus	0104050500020003	Accidents viaris per tipus. Atropellament	2022	39
1467	Accidents viaris per tipus	0104050500020003	Accidents viaris per tipus. Atropellament	2023	48
1467	Accidents viaris per tipus	0104050500020003	Accidents viaris per tipus. Atropellament	2024	49
1467	Accidents viaris per tipus	0104050500020003	Accidents viaris per tipus. Atropellament	2025	46
1467	Accidents viaris per tipus	0104050500020004	Accidents viaris per tipus. Xoc	2015	0
1467	Accidents viaris per tipus	0104050500020004	Accidents viaris per tipus. Xoc	2016	0
1467	Accidents viaris per tipus	0104050500020004	Accidents viaris per tipus. Xoc	2017	1
1467	Accidents viaris per tipus	0104050500020004	Accidents viaris per tipus. Xoc	2018	0
1467	Accidents viaris per tipus	0104050500020004	Accidents viaris per tipus. Xoc	2019	40
1467	Accidents viaris per tipus	0104050500020004	Accidents viaris per tipus. Xoc	2020	30
1467	Accidents viaris per tipus	0104050500020004	Accidents viaris per tipus. Xoc	2021	36
1467	Accidents viaris per tipus	0104050500020004	Accidents viaris per tipus. Xoc	2022	65
1467	Accidents viaris per tipus	0104050500020004	Accidents viaris per tipus. Xoc	2023	53
1467	Accidents viaris per tipus	0104050500020004	Accidents viaris per tipus. Xoc	2024	64
1467	Accidents viaris per tipus	0104050500020004	Accidents viaris per tipus. Xoc	2025	57
1467	Accidents viaris per tipus	0104050500020005	Accidents viaris per tipus. Sortida de via	2015	3
1467	Accidents viaris per tipus	0104050500020005	Accidents viaris per tipus. Sortida de via	2016	2
1467	Accidents viaris per tipus	0104050500020005	Accidents viaris per tipus. Sortida de via	2017	2
1467	Accidents viaris per tipus	0104050500020005	Accidents viaris per tipus. Sortida de via	2018	7
1467	Accidents viaris per tipus	0104050500020005	Accidents viaris per tipus. Sortida de via	2019	34
1467	Accidents viaris per tipus	0104050500020005	Accidents viaris per tipus. Sortida de via	2020	20
1467	Accidents viaris per tipus	0104050500020005	Accidents viaris per tipus. Sortida de via	2021	39
1467	Accidents viaris per tipus	0104050500020005	Accidents viaris per tipus. Sortida de via	2022	28
1467	Accidents viaris per tipus	0104050500020005	Accidents viaris per tipus. Sortida de via	2023	61
1467	Accidents viaris per tipus	0104050500020005	Accidents viaris per tipus. Sortida de via	2024	61
1467	Accidents viaris per tipus	0104050500020005	Accidents viaris per tipus. Sortida de via	2025	44
1467	Accidents viaris per tipus	0104050500020006	Accidents viaris per tipus. Caiguda de moto	2015	0
1467	Accidents viaris per tipus	0104050500020006	Accidents viaris per tipus. Caiguda de moto	2016	1
1467	Accidents viaris per tipus	0104050500020006	Accidents viaris per tipus. Caiguda de moto	2017	2
1467	Accidents viaris per tipus	0104050500020006	Accidents viaris per tipus. Caiguda de moto	2018	1
1467	Accidents viaris per tipus	0104050500020006	Accidents viaris per tipus. Caiguda de moto	2019	20
1467	Accidents viaris per tipus	0104050500020006	Accidents viaris per tipus. Caiguda de moto	2020	18
1467	Accidents viaris per tipus	0104050500020006	Accidents viaris per tipus. Caiguda de moto	2021	14
1467	Accidents viaris per tipus	0104050500020006	Accidents viaris per tipus. Caiguda de moto	2022	20
1467	Accidents viaris per tipus	0104050500020006	Accidents viaris per tipus. Caiguda de moto	2023	9
1467	Accidents viaris per tipus	0104050500020006	Accidents viaris per tipus. Caiguda de moto	2024	10
1467	Accidents viaris per tipus	0104050500020006	Accidents viaris per tipus. Caiguda de moto	2025	8
1467	Accidents viaris per tipus	0104050500020007	Accidents viaris per tipus. Total	2015	576
1467	Accidents viaris per tipus	0104050500020007	Accidents viaris per tipus. Total	2016	593
1467	Accidents viaris per tipus	0104050500020007	Accidents viaris per tipus. Total	2017	523
1467	Accidents viaris per tipus	0104050500020007	Accidents viaris per tipus. Total	2018	513
1467	Accidents viaris per tipus	0104050500020007	Accidents viaris per tipus. Total	2019	522
1467	Accidents viaris per tipus	0104050500020007	Accidents viaris per tipus. Total	2020	419
1467	Accidents viaris per tipus	0104050500020007	Accidents viaris per tipus. Total	2021	496
1467	Accidents viaris per tipus	0104050500020007	Accidents viaris per tipus. Total	2022	536
1467	Accidents viaris per tipus	0104050500020007	Accidents viaris per tipus. Total	2023	438
1467	Accidents viaris per tipus	0104050500020007	Accidents viaris per tipus. Total	2024	456
1467	Accidents viaris per tipus	0104050500020007	Accidents viaris per tipus. Total	2025	533
1468	Accidents viaris per parròquia	0104050500030001	Accidents viaris per parròquia. Canillo	2015	35
1468	Accidents viaris per parròquia	0104050500030001	Accidents viaris per parròquia. Canillo	2016	41
1468	Accidents viaris per parròquia	0104050500030001	Accidents viaris per parròquia. Canillo	2017	53
1468	Accidents viaris per parròquia	0104050500030001	Accidents viaris per parròquia. Canillo	2018	41
1468	Accidents viaris per parròquia	0104050500030001	Accidents viaris per parròquia. Canillo	2019	40
1468	Accidents viaris per parròquia	0104050500030001	Accidents viaris per parròquia. Canillo	2020	32
1468	Accidents viaris per parròquia	0104050500030001	Accidents viaris per parròquia. Canillo	2021	38
1468	Accidents viaris per parròquia	0104050500030001	Accidents viaris per parròquia. Canillo	2022	42
