idDivision	taula	codi	serie	periode	valor
196	NOMBRE D ´ALLOTJAMENTS TURÍSTICS	0205060200010001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS. TOTAL	2004	294
196	NOMBRE D ´ALLOTJAMENTS TURÍSTICS	0205060200010001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS. TOTAL	2005	294
196	NOMBRE D ´ALLOTJAMENTS TURÍSTICS	0205060200010001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS. TOTAL	2006	258
196	NOMBRE D ´ALLOTJAMENTS TURÍSTICS	0205060200010001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS. TOTAL	2007	267
196	NOMBRE D ´ALLOTJAMENTS TURÍSTICS	0205060200010001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS. TOTAL	2008	270
196	NOMBRE D ´ALLOTJAMENTS TURÍSTICS	0205060200010001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS. TOTAL	2009	260
196	NOMBRE D ´ALLOTJAMENTS TURÍSTICS	0205060200010001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS. TOTAL	2010	258
196	NOMBRE D ´ALLOTJAMENTS TURÍSTICS	0205060200010001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS. TOTAL	2011	253
196	NOMBRE D ´ALLOTJAMENTS TURÍSTICS	0205060200010001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS. TOTAL	2012	249
196	NOMBRE D ´ALLOTJAMENTS TURÍSTICS	0205060200010001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS. TOTAL	2013	243
196	NOMBRE D ´ALLOTJAMENTS TURÍSTICS	0205060200010001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS. TOTAL	2014	241
196	NOMBRE D ´ALLOTJAMENTS TURÍSTICS	0205060200010001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS. TOTAL	2015	239
196	NOMBRE D ´ALLOTJAMENTS TURÍSTICS	0205060200010001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS. TOTAL	2016	235
196	NOMBRE D ´ALLOTJAMENTS TURÍSTICS	0205060200010001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS. TOTAL	2017	235
196	NOMBRE D ´ALLOTJAMENTS TURÍSTICS	0205060200010001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS. TOTAL	2018	239
196	NOMBRE D ´ALLOTJAMENTS TURÍSTICS	0205060200010001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS. TOTAL	2019	230
196	NOMBRE D ´ALLOTJAMENTS TURÍSTICS	0205060200010001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS. TOTAL	2020	225
196	NOMBRE D ´ALLOTJAMENTS TURÍSTICS	0205060200010001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS. TOTAL	2021	216
196	NOMBRE D ´ALLOTJAMENTS TURÍSTICS	0205060200010001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS. TOTAL	2022	226
196	NOMBRE D ´ALLOTJAMENTS TURÍSTICS	0205060200010001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS. TOTAL	2023	218
196	NOMBRE D ´ALLOTJAMENTS TURÍSTICS	0205060200010001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS. TOTAL	2024	219
196	NOMBRE D ´ALLOTJAMENTS TURÍSTICS	0205060200010001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS. TOTAL	2025	218
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. CANILLO	2004	46
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. CANILLO	2005	47
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. CANILLO	2006	38
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. CANILLO	2007	44
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. CANILLO	2008	49
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. CANILLO	2009	49
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. CANILLO	2010	51
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. CANILLO	2011	50
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. CANILLO	2012	50
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. CANILLO	2013	48
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. CANILLO	2014	48
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. CANILLO	2015	49
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. CANILLO	2016	45
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. CANILLO	2017	45
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. CANILLO	2018	47
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. CANILLO	2019	47
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. CANILLO	2020	44
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. CANILLO	2021	43
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. CANILLO	2022	45
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. CANILLO	2023	43
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. CANILLO	2024	43
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020001	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. CANILLO	2025	43
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020002	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. ENCAMP	2004	74
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020002	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. ENCAMP	2005	74
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020002	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. ENCAMP	2006	59
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020002	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. ENCAMP	2007	60
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020002	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. ENCAMP	2008	61
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020002	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. ENCAMP	2009	56
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020002	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. ENCAMP	2010	54
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020002	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. ENCAMP	2011	52
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020002	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. ENCAMP	2012	51
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020002	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. ENCAMP	2013	48
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020002	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. ENCAMP	2014	48
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020002	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. ENCAMP	2015	49
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020002	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. ENCAMP	2016	49
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020002	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. ENCAMP	2017	51
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020002	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. ENCAMP	2018	51
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020002	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. ENCAMP	2019	49
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020002	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. ENCAMP	2020	49
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020002	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. ENCAMP	2021	47
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020002	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. ENCAMP	2022	53
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020002	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. ENCAMP	2023	51
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020002	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. ENCAMP	2024	51
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020002	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. ENCAMP	2025	51
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020003	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. ORDINO	2004	22
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020003	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. ORDINO	2005	24
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020003	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. ORDINO	2006	24
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020003	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. ORDINO	2007	26
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020003	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. ORDINO	2008	28
197	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA	0205060200020003	NOMBRE D ´ALLOTJAMENTS TURÍSTICS PER PARRÒQUIA. ORDINO	2009	28
