idDivision	taula	codi	serie	periode	valor
389	NOMBRE D'ASSALARIATS	0102010100010001	NOMBRE D'ASSALARIATS. TOTAL	1966/12	97
389	NOMBRE D'ASSALARIATS	0102010100010001	NOMBRE D'ASSALARIATS. TOTAL	1967/12	117
389	NOMBRE D'ASSALARIATS	0102010100010001	NOMBRE D'ASSALARIATS. TOTAL	1968/12	4914
389	NOMBRE D'ASSALARIATS	0102010100010001	NOMBRE D'ASSALARIATS. TOTAL	1969/12	5420
389	NOMBRE D'ASSALARIATS	0102010100010001	NOMBRE D'ASSALARIATS. TOTAL	1970/12	5878
389	NOMBRE D'ASSALARIATS	0102010100010001	NOMBRE D'ASSALARIATS. TOTAL	1971/12	6403
389	NOMBRE D'ASSALARIATS	0102010100010001	NOMBRE D'ASSALARIATS. TOTAL	1972/12	7368
389	NOMBRE D'ASSALARIATS	0102010100010001	NOMBRE D'ASSALARIATS. TOTAL	1973/12	8352
389	NOMBRE D'ASSALARIATS	0102010100010001	NOMBRE D'ASSALARIATS. TOTAL	1974/12	8875
389	NOMBRE D'ASSALARIATS	0102010100010001	NOMBRE D'ASSALARIATS. TOTAL	1975/12	9340
389	NOMBRE D'ASSALARIATS	0102010100010001	NOMBRE D'ASSALARIATS. TOTAL	1976/12	10145
389	NOMBRE D'ASSALARIATS	0102010100010001	NOMBRE D'ASSALARIATS. TOTAL	1977/12	11307
389	NOMBRE D'ASSALARIATS	0102010100010001	NOMBRE D'ASSALARIATS. TOTAL	1978/12	12235
389	NOMBRE D'ASSALARIATS	0102010100010001	NOMBRE D'ASSALARIATS. TOTAL	1979/12	14258
389	NOMBRE D'ASSALARIATS	0102010100010001	NOMBRE D'ASSALARIATS. TOTAL	1980/12	16247
389	NOMBRE D'ASSALARIATS	0102010100010001	NOMBRE D'ASSALARIATS. TOTAL	1981/12	16677
389	NOMBRE D'ASSALARIATS	0102010100010001	NOMBRE D'ASSALARIATS. TOTAL	1982/12	16306
389	NOMBRE D'ASSALARIATS	0102010100010001	NOMBRE D'ASSALARIATS. TOTAL	1983/12	16857
389	NOMBRE D'ASSALARIATS	0102010100010001	NOMBRE D'ASSALARIATS. TOTAL	1984/12	17373
389	NOMBRE D'ASSALARIATS	0102010100010001	NOMBRE D'ASSALARIATS. TOTAL	1985/12	18249
389	NOMBRE D'ASSALARIATS	0102010100010001	NOMBRE D'ASSALARIATS. TOTAL	1986/12	19400
389	NOMBRE D'ASSALARIATS	0102010100010001	NOMBRE D'ASSALARIATS. TOTAL	1987/12	20860
389	NOMBRE D'ASSALARIATS	0102010100010001	NOMBRE D'ASSALARIATS. TOTAL	1988/12	22991
