IdDivision	Division	Description
797	010101010001	POBLACIÓ TOTAL
798	010101010002	POBLACIÓ PER PARRÒQUIA
1096	010101010003	POBLACIÓ PER POBLE
1103	010101010004	POBLACIÓ PER SEXE
1097	010101010005	POBLACIÓ PER EDAT (TRAMS 5 ANYS)
1100	010101010006	POBLACIÓ PER EDAT (TRAMS 1 ANY)
1106	010101010007	POBLACIÓ PER NACIONALITAT
1136	010101010008	POBLACIÓ PER LLOC DE NAIXEMENT
1093	010101010009	POBLACIÓ PER PARRÒQUIA I SEXE
1091	010101010010	POBLACIÓ PER PARRÒQUIA I EDAT (TRAMS 5 ANYS)
1092	010101010011	POBLACIÓ PER PARRÒQUIA I EDAT (TRAMS 1 ANY)
1094	010101010012	POBLACIÓ PER NACIONALITAT I PARRÒQUIA
1137	010101010013	POBLACIÓ PER PARRÒQUIA I LLOC DE NAIXEMENT
1098	010101010014	POBLACIÓ PER SEXE I EDAT (TRAMS 5 ANYS)
1101	010101010015	POBLACIÓ PER SEXE I EDAT (TRAMS 1 ANY)
1104	010101010016	POBLACIÓ PER SEXE I NACIONALITAT
1138	010101010017	POBLACIÓ PER SEXE I LLOC DE NAIXEMENT
1099	010101010018	POBLACIÓ PER EDAT (TRAMS 5 ANYS) I NACIONALITAT
1139	010101010019	POBLACIÓ PER EDAT (TRAMS 5 ANYS) I LLOC DE NAIXEMENT
1102	010101010020	POBLACIÓ PER EDAT (TRAMS 1 ANY) I NACIONALITAT
1140	010101010021	POBLACIÓ PER NACIONALITAT I LLOC DE NAIXEMENT
1108	010101010022	POBLACIÓ PER PARRÒQUIA, EDAT (TRAMS 1 ANY) I SEXE
1109	010101010023	POBLACIÓ PER NACIONALITAT, EDAT (TRAMS 5 ANYS) I SEXE
3562	010101010024	POBLACIÓ PER NACIONALITAT, PARRÒQUIA I SEXE
1107	010101010025	EDAT MITJANA DE LA POBLACIÓ
1095	010101010026	EDAT MITJANA DE LA POBLACIÓ PER PARRÒQUIA
1105	010101010027	EDAT MITJANA DE LA POBLACIÓ PER SEXE
1141	010101010028	EDAT MITJANA DE LA POBLACIÓ PER NACIONALITAT
1142	010101010029	EDAT MITJANA DE LA POBLACIÓ PER LLOC DE NAIXEMENT
1143	010101020001	POBLACIÓ MENSUAL TOTAL
1	010101040001	POBLACIÓ REGISTRADA TOTAL
2	010101040002	POBLACIÓ REGISTRADA PER PARRÒQUIA
1144	010101040008	POBLACIÓ REGISTRADA PER LLOC DE NAIXEMENT
1146	010101050001	POBLACIÓ MENSUAL REGISTRADA TOTAL
1147	010101060001	POBLACIÓ FLOTANT
1148	010101060002	POBLACIÓ ESTACIONAL
1149	010101060003	POBLACIÓ EQUIVALENT
2658	010101080001	NOMBRE DE LLARS PER PARRÒQUIA
2659	010101080002	PERCENTATGE DE LES LLARS PER NOMBRE DE MEMBRES
2660	010101080003	NOMBRE MITJÀ DE MEMBRES PER LLAR 
2661	010101080004	PERCENTATGE DE LLARS PER TIPOLOGIA
2662	010101080005	NOMBRE DE LLARS PER NACIONALITAT DE LA PARELLA
2663	010101080006	PERCENTATGE DE LLARS PER NACIONALITAT DE LA PARELLA 
2664	010101080007	NOMBRE DE LLARS PER NACIONALITAT DETALLADA DE LA PARELLA. MATEIXA NACIONALITAT
2665	010101080008	NOMBRE DE LLARS PER NACIONALITAT DETALLADA DE LA PARELLA. DIFERENT NACIONALITAT
