idDivision	taula	codi	serie	periode	valor
2063	POBLACIÓ AMB RESPONSABILITATS DE CURA	0111030100010001	POBLACIÓ AMB RESPONSABILITATS DE CURA. TOTAL	2018	34.2
2064	POBLACIÓ AMB RESPONSABILITATS DE CURA PER SEXE	0111030100020001	POBLACIÓ AMB RESPONSABILITATS DE CURA PER SEXE. HOMES	2018	32.5
2064	POBLACIÓ AMB RESPONSABILITATS DE CURA PER SEXE	0111030100020002	POBLACIÓ AMB RESPONSABILITATS DE CURA PER SEXE. DONES	2018	35.9
2065	POBLACIÓ AMB RESPONSABILITATS DE CURA PER COL·LECTIU	0111030100080001	POBLACIÓ AMB RESPONSABILITATS DE CURA PER COL·LECTIU. MENORS D'EDAT	2018	31.3
2065	POBLACIÓ AMB RESPONSABILITATS DE CURA PER COL·LECTIU	0111030100080002	POBLACIÓ AMB RESPONSABILITATS DE CURA PER COL·LECTIU. FAMILIARS DEPENDENTS	2018	1.7
2065	POBLACIÓ AMB RESPONSABILITATS DE CURA PER COL·LECTIU	0111030100080003	POBLACIÓ AMB RESPONSABILITATS DE CURA PER COL·LECTIU. MENORS D'EDAT I FAMILIARS DEPENDENTS	2018	1.2
2066	POBLACIÓ AMB RESPONSABILITATS DE CURA PER SEXE I COL·LECTIU	0111030100090001	POBLACIÓ AMB RESPONSABILITATS DE CURA PER SEXE I COL·LECTIU. HOMES. MENORS D'EDAT	2018	30.2
2066	POBLACIÓ AMB RESPONSABILITATS DE CURA PER SEXE I COL·LECTIU	0111030100090002	POBLACIÓ AMB RESPONSABILITATS DE CURA PER SEXE I COL·LECTIU. DONES. MENORS D'EDAT	2018	32.4
2067	POBLACIÓ AMB RESPONSABILITATS DE CURA PER SITUACIÓ LABORAL	0111030100270001	POBLACIÓ AMB RESPONSABILITATS DE CURA PER SITUACIÓ LABORAL. OCUPADA	2018	37.5
2068	POBLACIÓ PER ÚS DE SERVEIS DE CURA PER A MENORS D'EDAT	0111030100330001	POBLACIÓ PER ÚS DE SERVEIS DE CURA PER A MENORS D'EDAT. NO ELS UTILITZA	2018	65.8
2068	POBLACIÓ PER ÚS DE SERVEIS DE CURA PER A MENORS D'EDAT	0111030100330002	POBLACIÓ PER ÚS DE SERVEIS DE CURA PER A MENORS D'EDAT. ELS UTILITZA PER A TOTS	2018	27.4
2068	POBLACIÓ PER ÚS DE SERVEIS DE CURA PER A MENORS D'EDAT	0111030100330003	POBLACIÓ PER ÚS DE SERVEIS DE CURA PER A MENORS D'EDAT. ELS UTILITZA PER A ALGUNS	2018	6.8
2069	POBLACIÓ OCUPADA QUE UTILITZA ELS SERVEIS DE CURA	0111030100400001	POBLACIÓ OCUPADA QUE UTILITZA ELS SERVEIS DE CURA	2018	34.9
2070	MITJANA D'HORES DE TREBALL DE LA POBLACIÓ QUE UTILITZA ELS SERVEIS DE CURA TOTAL	0111030100460001	MITJANA D'HORES DE TREBALL DE LA POBLACIÓ QUE UTILITZA ELS SERVEIS DE CURA TOTAL	2018	41
2071	MITJANA D'HORES DE TREBALL DE LA POBLACIÓ QUE UTILITZA ELS SERVEIS DE CURA PER SEXE	0111030100470001	MITJANA D'HORES DE TREBALL DE LA POBLACIÓ QUE UTILITZA ELS SERVEIS DE CURA PER SEXE. HOMES	2018	42.7
2071	MITJANA D'HORES DE TREBALL DE LA POBLACIÓ QUE UTILITZA ELS SERVEIS DE CURA PER SEXE	0111030100470002	MITJANA D'HORES DE TREBALL DE LA POBLACIÓ QUE UTILITZA ELS SERVEIS DE CURA PER SEXE. DONES	2018	39
2072	FALTA DE SERVEIS ADEQUATS PER A LA CURA DELS MENORS PER MOTIU	0111030100480001	FALTA DE SERVEIS ADEQUATS PER A LA CURA DELS MENORS PER MOTIU. ELS SERVEIS DISPONIBLES SÓN MASSA CARS	2018	6.7
2072	FALTA DE SERVEIS ADEQUATS PER A LA CURA DELS MENORS PER MOTIU	0111030100480002	FALTA DE SERVEIS ADEQUATS PER A LA CURA DELS MENORS PER MOTIU. NO HI HA SERVEIS PER A LA CURA DE MENORS O NO HI HA PLACES DISPONIBLES	2018	1
2072	FALTA DE SERVEIS ADEQUATS PER A LA CURA DELS MENORS PER MOTIU	0111030100480003	FALTA DE SERVEIS ADEQUATS PER A LA CURA DELS MENORS PER MOTIU. ALTRES RAONS RELACIONADES	2018	0.3
2072	FALTA DE SERVEIS ADEQUATS PER A LA CURA DELS MENORS PER MOTIU	0111030100480004	FALTA DE SERVEIS ADEQUATS PER A LA CURA DELS MENORS PER MOTIU. PERQUÈ ORGANITZA LA CURA DELS MENORS SOL O AMB LA SEVA PARELLA	2018	72.2
2072	FALTA DE SERVEIS ADEQUATS PER A LA CURA DELS MENORS PER MOTIU	0111030100480005	FALTA DE SERVEIS ADEQUATS PER A LA CURA DELS MENORS PER MOTIU. PERQUÈ ORGANITZA LA CURA DELS MENORS AMB UNA ALTRA AJUDA INFORMAL (AVIS, ETC.)	2018	14.3
2072	FALTA DE SERVEIS ADEQUATS PER A LA CURA DELS MENORS PER MOTIU	0111030100480006	FALTA DE SERVEIS ADEQUATS PER A LA CURA DELS MENORS PER MOTIU. PERQUÈ ELS MENORS D’EDAT ES CUIDEN ELLS MATEIXOS	2018	4.4
2072	FALTA DE SERVEIS ADEQUATS PER A LA CURA DELS MENORS PER MOTIU	0111030100480007	FALTA DE SERVEIS ADEQUATS PER A LA CURA DELS MENORS PER MOTIU. PER ALTRES RAONS	2018	1.1
2073	ASSALARIATS SENSE SERVEIS DE GUARDERIA PER SECTOR D'ACTIVITAT	0111030100560001	ASSALARIATS SENSE SERVEIS DE GUARDERIA PER SECTOR D'ACTIVITAT. SECTOR PÚBLIC	2018	72.7
2073	ASSALARIATS SENSE SERVEIS DE GUARDERIA PER SECTOR D'ACTIVITAT	0111030100560002	ASSALARIATS SENSE SERVEIS DE GUARDERIA PER SECTOR D'ACTIVITAT. SECTOR PRIVAT	2018	62.8
2073	ASSALARIATS SENSE SERVEIS DE GUARDERIA PER SECTOR D'ACTIVITAT	0111030100560003	ASSALARIATS SENSE SERVEIS DE GUARDERIA PER SECTOR D'ACTIVITAT. TREBALLADORS PER COMPTE PROPI	2018	67.1
