idDivision	taula	codi	serie	periode	valor
249	ESTUDIANTS ESCOLARS	0103040300050001	ESTUDIANTS ESCOLARS	1990	9024
249	ESTUDIANTS ESCOLARS	0103040300050001	ESTUDIANTS ESCOLARS	1991	9214
249	ESTUDIANTS ESCOLARS	0103040300050001	ESTUDIANTS ESCOLARS	1992	9266
249	ESTUDIANTS ESCOLARS	0103040300050001	ESTUDIANTS ESCOLARS	1993	9206
249	ESTUDIANTS ESCOLARS	0103040300050001	ESTUDIANTS ESCOLARS	1994	9113
249	ESTUDIANTS ESCOLARS	0103040300050001	ESTUDIANTS ESCOLARS	1995	9098
249	ESTUDIANTS ESCOLARS	0103040300050001	ESTUDIANTS ESCOLARS	1996	9344
249	ESTUDIANTS ESCOLARS	0103040300050001	ESTUDIANTS ESCOLARS	1997	9272
249	ESTUDIANTS ESCOLARS	0103040300050001	ESTUDIANTS ESCOLARS	1998	9278
249	ESTUDIANTS ESCOLARS	0103040300050001	ESTUDIANTS ESCOLARS	1999	9276
249	ESTUDIANTS ESCOLARS	0103040300050001	ESTUDIANTS ESCOLARS	2000	9432
249	ESTUDIANTS ESCOLARS	0103040300050001	ESTUDIANTS ESCOLARS	2001	9701
249	ESTUDIANTS ESCOLARS	0103040300050001	ESTUDIANTS ESCOLARS	2002	9992
249	ESTUDIANTS ESCOLARS	0103040300050001	ESTUDIANTS ESCOLARS	2003	10128
249	ESTUDIANTS ESCOLARS	0103040300050001	ESTUDIANTS ESCOLARS	2004	10477
249	ESTUDIANTS ESCOLARS	0103040300050001	ESTUDIANTS ESCOLARS	2005	10789
249	ESTUDIANTS ESCOLARS	0103040300050001	ESTUDIANTS ESCOLARS	2006	10804
249	ESTUDIANTS ESCOLARS	0103040300050001	ESTUDIANTS ESCOLARS	2007	10850
249	ESTUDIANTS ESCOLARS	0103040300050001	ESTUDIANTS ESCOLARS	2008	10796
249	ESTUDIANTS ESCOLARS	0103040300050001	ESTUDIANTS ESCOLARS	2009	10837
249	ESTUDIANTS ESCOLARS	0103040300050001	ESTUDIANTS ESCOLARS	2010	10802
249	ESTUDIANTS ESCOLARS	0103040300050001	ESTUDIANTS ESCOLARS	2011	10773
249	ESTUDIANTS ESCOLARS	0103040300050001	ESTUDIANTS ESCOLARS	2012	10730
249	ESTUDIANTS ESCOLARS	0103040300050001	ESTUDIANTS ESCOLARS	2013	10837
249	ESTUDIANTS ESCOLARS	0103040300050001	ESTUDIANTS ESCOLARS	2014	10986
249	ESTUDIANTS ESCOLARS	0103040300050001	ESTUDIANTS ESCOLARS	2015	11013
249	ESTUDIANTS ESCOLARS	0103040300050001	ESTUDIANTS ESCOLARS	2016	11018
249	ESTUDIANTS ESCOLARS	0103040300050001	ESTUDIANTS ESCOLARS	2017	11042
249	ESTUDIANTS ESCOLARS	0103040300050001	ESTUDIANTS ESCOLARS	2018	11012
249	ESTUDIANTS ESCOLARS	0103040300050001	ESTUDIANTS ESCOLARS	2019	10979
249	ESTUDIANTS ESCOLARS	0103040300050001	ESTUDIANTS ESCOLARS	2020	10910
249	ESTUDIANTS ESCOLARS	0103040300050001	ESTUDIANTS ESCOLARS	2021	10887
249	ESTUDIANTS ESCOLARS	0103040300050001	ESTUDIANTS ESCOLARS	2022	11300
249	ESTUDIANTS ESCOLARS	0103040300050001	ESTUDIANTS ESCOLARS	2023	11372
249	ESTUDIANTS ESCOLARS	0103040300050001	ESTUDIANTS ESCOLARS	2024	11529
