idDivision	taula	codi	serie	periode	valor
2041	Cens d'electors nacional	0110010100010001	Cens d'electors nacional	2009	20298
2041	Cens d'electors nacional	0110010100010001	Cens d'electors nacional	2011	21852
2041	Cens d'electors nacional	0110010100010001	Cens d'electors nacional	2015	24512
2041	Cens d'electors nacional	0110010100010001	Cens d'electors nacional	2019	27278
2041	Cens d'electors nacional	0110010100010001	Cens d'electors nacional	2023	29958
2042	Cens d'electors nacional per parròquia	0110010100020001	Cens d'electors nacional per parròquia. Canillo	2009	750
2042	Cens d'electors nacional per parròquia	0110010100020001	Cens d'electors nacional per parròquia. Canillo	2011	794
2042	Cens d'electors nacional per parròquia	0110010100020001	Cens d'electors nacional per parròquia. Canillo	2015	908
2042	Cens d'electors nacional per parròquia	0110010100020001	Cens d'electors nacional per parròquia. Canillo	2019	1003
2042	Cens d'electors nacional per parròquia	0110010100020001	Cens d'electors nacional per parròquia. Canillo	2023	1199
2042	Cens d'electors nacional per parròquia	0110010100020002	Cens d'electors nacional per parròquia. Encamp	2009	2793
2042	Cens d'electors nacional per parròquia	0110010100020002	Cens d'electors nacional per parròquia. Encamp	2011	3004
2042	Cens d'electors nacional per parròquia	0110010100020002	Cens d'electors nacional per parròquia. Encamp	2015	3374
2042	Cens d'electors nacional per parròquia	0110010100020002	Cens d'electors nacional per parròquia. Encamp	2019	3928
2042	Cens d'electors nacional per parròquia	0110010100020002	Cens d'electors nacional per parròquia. Encamp	2023	4341
2042	Cens d'electors nacional per parròquia	0110010100020003	Cens d'electors nacional per parròquia. Ordino	2009	1200
2042	Cens d'electors nacional per parròquia	0110010100020003	Cens d'electors nacional per parròquia. Ordino	2011	1379
2042	Cens d'electors nacional per parròquia	0110010100020003	Cens d'electors nacional per parròquia. Ordino	2015	1586
2042	Cens d'electors nacional per parròquia	0110010100020003	Cens d'electors nacional per parròquia. Ordino	2019	1753
2042	Cens d'electors nacional per parròquia	0110010100020003	Cens d'electors nacional per parròquia. Ordino	2023	1903
2042	Cens d'electors nacional per parròquia	0110010100020004	Cens d'electors nacional per parròquia. La Massana	2009	2104
2042	Cens d'electors nacional per parròquia	0110010100020004	Cens d'electors nacional per parròquia. La Massana	2011	2311
2042	Cens d'electors nacional per parròquia	0110010100020004	Cens d'electors nacional per parròquia. La Massana	2015	2656
2042	Cens d'electors nacional per parròquia	0110010100020004	Cens d'electors nacional per parròquia. La Massana	2019	3067
2042	Cens d'electors nacional per parròquia	0110010100020004	Cens d'electors nacional per parròquia. La Massana	2023	3483
2042	Cens d'electors nacional per parròquia	0110010100020005	Cens d'electors nacional per parròquia. Andorra la Vella	2009	6204
2042	Cens d'electors nacional per parròquia	0110010100020005	Cens d'electors nacional per parròquia. Andorra la Vella	2011	6604
2042	Cens d'electors nacional per parròquia	0110010100020005	Cens d'electors nacional per parròquia. Andorra la Vella	2015	7372
2042	Cens d'electors nacional per parròquia	0110010100020005	Cens d'electors nacional per parròquia. Andorra la Vella	2019	8097
2042	Cens d'electors nacional per parròquia	0110010100020005	Cens d'electors nacional per parròquia. Andorra la Vella	2023	8693
2042	Cens d'electors nacional per parròquia	0110010100020006	Cens d'electors nacional per parròquia. Sant Julià de Lòria	2009	2949
2042	Cens d'electors nacional per parròquia	0110010100020006	Cens d'electors nacional per parròquia. Sant Julià de Lòria	2011	3173
2042	Cens d'electors nacional per parròquia	0110010100020006	Cens d'electors nacional per parròquia. Sant Julià de Lòria	2015	3588
2042	Cens d'electors nacional per parròquia	0110010100020006	Cens d'electors nacional per parròquia. Sant Julià de Lòria	2019	4029
2042	Cens d'electors nacional per parròquia	0110010100020006	Cens d'electors nacional per parròquia. Sant Julià de Lòria	2023	4476
