idDivision	taula	codi	serie	periode	valor
2457	Hipoteques concedides	0205090600010001	Hipoteques concedides. Total	2015	420
2457	Hipoteques concedides	0205090600010001	Hipoteques concedides. Total	2016	529
2457	Hipoteques concedides	0205090600010001	Hipoteques concedides. Total	2017	692
2457	Hipoteques concedides	0205090600010001	Hipoteques concedides. Total	2018	759
2457	Hipoteques concedides	0205090600010001	Hipoteques concedides. Total	2019	711
2457	Hipoteques concedides	0205090600010001	Hipoteques concedides. Total	2020	640
2457	Hipoteques concedides	0205090600010001	Hipoteques concedides. Total	2021	884
2457	Hipoteques concedides	0205090600010001	Hipoteques concedides. Total	2022	702
2457	Hipoteques concedides	0205090600010001	Hipoteques concedides. Total	2023	664
2457	Hipoteques concedides	0205090600010001	Hipoteques concedides. Total	2024	769
2457	Hipoteques concedides	0205090600010001	Hipoteques concedides. Total	2025	1064
2458	Hipoteques concedides per parròquia	0205090600020001	Hipoteques concedides per parròquia. Canillo	2015	39
2458	Hipoteques concedides per parròquia	0205090600020001	Hipoteques concedides per parròquia. Canillo	2016	47
2458	Hipoteques concedides per parròquia	0205090600020001	Hipoteques concedides per parròquia. Canillo	2017	87
2458	Hipoteques concedides per parròquia	0205090600020001	Hipoteques concedides per parròquia. Canillo	2018	95
2458	Hipoteques concedides per parròquia	0205090600020001	Hipoteques concedides per parròquia. Canillo	2019	91
2458	Hipoteques concedides per parròquia	0205090600020001	Hipoteques concedides per parròquia. Canillo	2020	78
2458	Hipoteques concedides per parròquia	0205090600020001	Hipoteques concedides per parròquia. Canillo	2021	127
2458	Hipoteques concedides per parròquia	0205090600020001	Hipoteques concedides per parròquia. Canillo	2022	98
2458	Hipoteques concedides per parròquia	0205090600020001	Hipoteques concedides per parròquia. Canillo	2023	115
2458	Hipoteques concedides per parròquia	0205090600020001	Hipoteques concedides per parròquia. Canillo	2024	112
2458	Hipoteques concedides per parròquia	0205090600020001	Hipoteques concedides per parròquia. Canillo	2025	192
2458	Hipoteques concedides per parròquia	0205090600020002	Hipoteques concedides per parròquia. Encamp	2015	88
2458	Hipoteques concedides per parròquia	0205090600020002	Hipoteques concedides per parròquia. Encamp	2016	95
2458	Hipoteques concedides per parròquia	0205090600020002	Hipoteques concedides per parròquia. Encamp	2017	114
2458	Hipoteques concedides per parròquia	0205090600020002	Hipoteques concedides per parròquia. Encamp	2018	149
2458	Hipoteques concedides per parròquia	0205090600020002	Hipoteques concedides per parròquia. Encamp	2019	109
2458	Hipoteques concedides per parròquia	0205090600020002	Hipoteques concedides per parròquia. Encamp	2020	114
2458	Hipoteques concedides per parròquia	0205090600020002	Hipoteques concedides per parròquia. Encamp	2021	188
2458	Hipoteques concedides per parròquia	0205090600020002	Hipoteques concedides per parròquia. Encamp	2022	134
2458	Hipoteques concedides per parròquia	0205090600020002	Hipoteques concedides per parròquia. Encamp	2023	113
2458	Hipoteques concedides per parròquia	0205090600020002	Hipoteques concedides per parròquia. Encamp	2024	157
2458	Hipoteques concedides per parròquia	0205090600020002	Hipoteques concedides per parròquia. Encamp	2025	187
2458	Hipoteques concedides per parròquia	0205090600020003	Hipoteques concedides per parròquia. Ordino	2015	33
