idDivision	taula	serie	periode	valor	font	actualitzat
1956	CONEIXEMENT DEL CASTELLÀ	CONEIXEMENT DEL CASTELLÀ. ENTÉN	1995	9.3	Departament de Política Lingüística	2022-01-29
1956	CONEIXEMENT DEL CASTELLÀ	CONEIXEMENT DEL CASTELLÀ. ENTÉN	1999	9.5	Departament de Política Lingüística	2022-01-29
1956	CONEIXEMENT DEL CASTELLÀ	CONEIXEMENT DEL CASTELLÀ. ENTÉN	2004	9.4	Departament de Política Lingüística	2022-01-29
1956	CONEIXEMENT DEL CASTELLÀ	CONEIXEMENT DEL CASTELLÀ. ENTÉN	2009	9.6	Departament de Política Lingüística	2022-01-29
1956	CONEIXEMENT DEL CASTELLÀ	CONEIXEMENT DEL CASTELLÀ. ENTÉN	2014	9.5	Departament de Política Lingüística	2022-01-29
1956	CONEIXEMENT DEL CASTELLÀ	CONEIXEMENT DEL CASTELLÀ. ENTÉN	2018	9.6	Departament de Política Lingüística	2022-01-29
1956	CONEIXEMENT DEL CASTELLÀ	CONEIXEMENT DEL CASTELLÀ. LLEGEIX	1995	9.3	Departament de Política Lingüística	2022-01-29
1956	CONEIXEMENT DEL CASTELLÀ	CONEIXEMENT DEL CASTELLÀ. LLEGEIX	1999	9.5	Departament de Política Lingüística	2022-01-29
1956	CONEIXEMENT DEL CASTELLÀ	CONEIXEMENT DEL CASTELLÀ. LLEGEIX	2004	9.4	Departament de Política Lingüística	2022-01-29
1956	CONEIXEMENT DEL CASTELLÀ	CONEIXEMENT DEL CASTELLÀ. LLEGEIX	2009	9.3	Departament de Política Lingüística	2022-01-29
1956	CONEIXEMENT DEL CASTELLÀ	CONEIXEMENT DEL CASTELLÀ. LLEGEIX	2014	9.4	Departament de Política Lingüística	2022-01-29
1956	CONEIXEMENT DEL CASTELLÀ	CONEIXEMENT DEL CASTELLÀ. LLEGEIX	2018	9.4	Departament de Política Lingüística	2022-01-29
1956	CONEIXEMENT DEL CASTELLÀ	CONEIXEMENT DEL CASTELLÀ. PARLA	1995	9.0	Departament de Política Lingüística	2022-01-29
