idDivision	taula	codi	serie	periode	valor
797	TOTAL POBLACIÓ	0101010100010001	TOTAL POBLACIÓ. POBLACIÓ	2009	73600
797	TOTAL POBLACIÓ	0101010100010001	TOTAL POBLACIÓ. POBLACIÓ	2010	70290
797	TOTAL POBLACIÓ	0101010100010001	TOTAL POBLACIÓ. POBLACIÓ	2011	69772
797	TOTAL POBLACIÓ	0101010100010001	TOTAL POBLACIÓ. POBLACIÓ	2012	69758
797	TOTAL POBLACIÓ	0101010100010001	TOTAL POBLACIÓ. POBLACIÓ	2013	69966
797	TOTAL POBLACIÓ	0101010100010001	TOTAL POBLACIÓ. POBLACIÓ	2014	70570
797	TOTAL POBLACIÓ	0101010100010001	TOTAL POBLACIÓ. POBLACIÓ	2015	71732
797	TOTAL POBLACIÓ	0101010100010001	TOTAL POBLACIÓ. POBLACIÓ	2016	73105
797	TOTAL POBLACIÓ	0101010100010001	TOTAL POBLACIÓ. POBLACIÓ	2017	74794
797	TOTAL POBLACIÓ	0101010100010001	TOTAL POBLACIÓ. POBLACIÓ	2018	76177
797	TOTAL POBLACIÓ	0101010100010001	TOTAL POBLACIÓ. POBLACIÓ	2019	77543
797	TOTAL POBLACIÓ	0101010100010001	TOTAL POBLACIÓ. POBLACIÓ	2020	78015
797	TOTAL POBLACIÓ	0101010100010001	TOTAL POBLACIÓ. POBLACIÓ	2021	79535
797	TOTAL POBLACIÓ	0101010100010001	TOTAL POBLACIÓ. POBLACIÓ	2022	81588
797	TOTAL POBLACIÓ	0101010100010001	TOTAL POBLACIÓ. POBLACIÓ	2023	85101
797	TOTAL POBLACIÓ	0101010100010001	TOTAL POBLACIÓ. POBLACIÓ	2024	87097
797	TOTAL POBLACIÓ	0101010100010001	TOTAL POBLACIÓ. POBLACIÓ	2025	89058
798	POBLACIÓ PER PARRÒQUIA	0101010100020001	POBLACIÓ PER PARRÒQUIA. TOTAL	2009	73600
798	POBLACIÓ PER PARRÒQUIA	0101010100020001	POBLACIÓ PER PARRÒQUIA. TOTAL	2010	70290
798	POBLACIÓ PER PARRÒQUIA	0101010100020001	POBLACIÓ PER PARRÒQUIA. TOTAL	2011	69772
798	POBLACIÓ PER PARRÒQUIA	0101010100020001	POBLACIÓ PER PARRÒQUIA. TOTAL	2012	69758
798	POBLACIÓ PER PARRÒQUIA	0101010100020001	POBLACIÓ PER PARRÒQUIA. TOTAL	2013	69966
798	POBLACIÓ PER PARRÒQUIA	0101010100020001	POBLACIÓ PER PARRÒQUIA. TOTAL	2014	70570
798	POBLACIÓ PER PARRÒQUIA	0101010100020001	POBLACIÓ PER PARRÒQUIA. TOTAL	2015	71732
798	POBLACIÓ PER PARRÒQUIA	0101010100020001	POBLACIÓ PER PARRÒQUIA. TOTAL	2016	73105
798	POBLACIÓ PER PARRÒQUIA	0101010100020001	POBLACIÓ PER PARRÒQUIA. TOTAL	2017	74794
798	POBLACIÓ PER PARRÒQUIA	0101010100020001	POBLACIÓ PER PARRÒQUIA. TOTAL	2018	76177
798	POBLACIÓ PER PARRÒQUIA	0101010100020001	POBLACIÓ PER PARRÒQUIA. TOTAL	2019	77543
798	POBLACIÓ PER PARRÒQUIA	0101010100020001	POBLACIÓ PER PARRÒQUIA. TOTAL	2020	78015
798	POBLACIÓ PER PARRÒQUIA	0101010100020001	POBLACIÓ PER PARRÒQUIA. TOTAL	2021	79535
798	POBLACIÓ PER PARRÒQUIA	0101010100020001	POBLACIÓ PER PARRÒQUIA. TOTAL	2022	81588
798	POBLACIÓ PER PARRÒQUIA	0101010100020001	POBLACIÓ PER PARRÒQUIA. TOTAL	2023	85101
798	POBLACIÓ PER PARRÒQUIA	0101010100020001	POBLACIÓ PER PARRÒQUIA. TOTAL	2024	87097
