idDivision	taula	codi	serie	periode	valor
2550	Presència i ús de les TIC a les empreses d'Andorra	0303020400010001	Presència i ús de les TIC a les empreses d'Andorra. Utilització d'ordinadors i altres TIC. Total sectors	2018	88.4
2550	Presència i ús de les TIC a les empreses d'Andorra	0303020400010001	Presència i ús de les TIC a les empreses d'Andorra. Utilització d'ordinadors i altres TIC. Total sectors	2020	92
2550	Presència i ús de les TIC a les empreses d'Andorra	0303020400010001	Presència i ús de les TIC a les empreses d'Andorra. Utilització d'ordinadors i altres TIC. Total sectors	2022	94.4
2550	Presència i ús de les TIC a les empreses d'Andorra	0303020400010001	Presència i ús de les TIC a les empreses d'Andorra. Utilització d'ordinadors i altres TIC. Total sectors	2024	91
2550	Presència i ús de les TIC a les empreses d'Andorra	0303020400010002	Presència i ús de les TIC a les empreses d'Andorra. Utilització d'ordinadors i altres TIC. Percentatge del personal total de l'empresa que utilitza. Total sectors	2018	78.9
2550	Presència i ús de les TIC a les empreses d'Andorra	0303020400010002	Presència i ús de les TIC a les empreses d'Andorra. Utilització d'ordinadors i altres TIC. Percentatge del personal total de l'empresa que utilitza. Total sectors	2020	80.6
2550	Presència i ús de les TIC a les empreses d'Andorra	0303020400010002	Presència i ús de les TIC a les empreses d'Andorra. Utilització d'ordinadors i altres TIC. Percentatge del personal total de l'empresa que utilitza. Total sectors	2022	78
2550	Presència i ús de les TIC a les empreses d'Andorra	0303020400010002	Presència i ús de les TIC a les empreses d'Andorra. Utilització d'ordinadors i altres TIC. Percentatge del personal total de l'empresa que utilitza. Total sectors	2024	83
2550	Presència i ús de les TIC a les empreses d'Andorra	0303020400010003	Presència i ús de les TIC a les empreses d'Andorra. Accés a Internet. Total sectors	2018	86.6
2550	Presència i ús de les TIC a les empreses d'Andorra	0303020400010003	Presència i ús de les TIC a les empreses d'Andorra. Accés a Internet. Total sectors	2020	90.5
2550	Presència i ús de les TIC a les empreses d'Andorra	0303020400010003	Presència i ús de les TIC a les empreses d'Andorra. Accés a Internet. Total sectors	2022	93.8
2550	Presència i ús de les TIC a les empreses d'Andorra	0303020400010003	Presència i ús de les TIC a les empreses d'Andorra. Accés a Internet. Total sectors	2024	90.9
2550	Presència i ús de les TIC a les empreses d'Andorra	0303020400010004	Presència i ús de les TIC a les empreses d'Andorra. Accés a Internet. Percentatge del personal total de l'empresa amb conexió a Internet. Total sectors	2018	73.8
2550	Presència i ús de les TIC a les empreses d'Andorra	0303020400010004	Presència i ús de les TIC a les empreses d'Andorra. Accés a Internet. Percentatge del personal total de l'empresa amb conexió a Internet. Total sectors	2020	79.1
