idDivision	taula	codi	serie	periode	valor
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	1966/12	6136.71
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	1967/12	7660.49
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	1968/12	174065.23
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	1969/12	195842.54
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	1970/12	257043.87
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	1971/12	316030.47
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	1972/12	452824.95
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	1973/12	626463.05
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	1974/12	807657.61
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	1975/12	952826.43
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	1976/12	1290354.64
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	1977/12	1902819.17
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	1978/12	2448931.15
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	1979/12	3520842.41
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	1980/12	4826553.35
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	1981/12	5831691.97
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	1982/12	6441720.24
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	1983/12	7256185.14
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	1984/12	8145771.26
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	1985/12	9313925.05
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	1986/12	10958714.56
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	1987/12	13140476.2
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	1988/12	15763460.16
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	1989/12	19294581.63
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	1990/12	23362384.56
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	1991/12	27357849.84
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	1992/12	28895021.01
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	1993/12	30714435.6
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	1994/12	33631263
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	1995/12	37158142.96
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	1996/12	39900854.72
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	1997/12	42380228.94
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	1998/12	46932965.55
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	1999/12	52154131.86
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	2000/12	56060399.45
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	2001/12	64083577.46
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	2002/12	68320972.63
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	2003/12	77933182.01
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	2004/12	84762648.11
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	2005/12	94204044.46
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	2006/12	99032926.14
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	2007/12	99096808.55
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	2008/12	101594962.88
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	2009/12	100946502.88
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	2010/12	99127339.83
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	2011/12	95811048.4
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	2012/12	92514092.61
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	2013/12	91692677.89
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	2014/12	108171596.33
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	2015/12	96272184
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	2016/12	99700202.75
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	2017/12	104489229.63
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	2018/12	109615649.21
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	2019/12	113440949.31
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	2020/12	104855602.38
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	2021/12	116701155.79
400	MASSA SALARIAL TOTAL	0102020100010001	MASSA SALARIAL. TOTAL CAEA	2022/12	130114390.93
