idDivision	taula	codi	serie	periode	valor
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	1982	61
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	1983	89
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	1984	86
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	1985	52
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	1986	110
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	1987	131
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	1988	155
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	1989	218
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	1990	200
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	1991	147
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	1992	153
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	1993	96
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	1994	116
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	1995	103
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	1996	89
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	1997	101
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	1998	132
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	1999	149
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	2000	118
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	2001	128
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	2002	124
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	2003	177
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	2004	223
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	2005	64
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	2006	37
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	2007	42
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	2008	47
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	2009	55
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	2010	41
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	2011	40
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	2012	27
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	2013	30
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	2014	34
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	2015	29
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	2016	35
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	2017	35
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	2018	55
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	2019	73
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	2020	58
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	2021	83
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	2022	86
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	2023	91
100	PERMISOS TOTAL	0205030200010001	NOMBRE DE PERMISOS TOTALS	2024	88
101	PERMISOS PER PARRÒQUIA	0205030200020001	NOMBRE DE PERMISOS PER PARRÒQUIA. CANILLO	1982	2
101	PERMISOS PER PARRÒQUIA	0205030200020001	NOMBRE DE PERMISOS PER PARRÒQUIA. CANILLO	1983	3
101	PERMISOS PER PARRÒQUIA	0205030200020001	NOMBRE DE PERMISOS PER PARRÒQUIA. CANILLO	1984	3
101	PERMISOS PER PARRÒQUIA	0205030200020001	NOMBRE DE PERMISOS PER PARRÒQUIA. CANILLO	1985	2
101	PERMISOS PER PARRÒQUIA	0205030200020001	NOMBRE DE PERMISOS PER PARRÒQUIA. CANILLO	1986	7
101	PERMISOS PER PARRÒQUIA	0205030200020001	NOMBRE DE PERMISOS PER PARRÒQUIA. CANILLO	1987	14
101	PERMISOS PER PARRÒQUIA	0205030200020001	NOMBRE DE PERMISOS PER PARRÒQUIA. CANILLO	1988	11
101	PERMISOS PER PARRÒQUIA	0205030200020001	NOMBRE DE PERMISOS PER PARRÒQUIA. CANILLO	1989	13
101	PERMISOS PER PARRÒQUIA	0205030200020001	NOMBRE DE PERMISOS PER PARRÒQUIA. CANILLO	1990	23
101	PERMISOS PER PARRÒQUIA	0205030200020001	NOMBRE DE PERMISOS PER PARRÒQUIA. CANILLO	1991	18
101	PERMISOS PER PARRÒQUIA	0205030200020001	NOMBRE DE PERMISOS PER PARRÒQUIA. CANILLO	1992	11
101	PERMISOS PER PARRÒQUIA	0205030200020001	NOMBRE DE PERMISOS PER PARRÒQUIA. CANILLO	1993	5
101	PERMISOS PER PARRÒQUIA	0205030200020001	NOMBRE DE PERMISOS PER PARRÒQUIA. CANILLO	1994	9
101	PERMISOS PER PARRÒQUIA	0205030200020001	NOMBRE DE PERMISOS PER PARRÒQUIA. CANILLO	1995	17
101	PERMISOS PER PARRÒQUIA	0205030200020001	NOMBRE DE PERMISOS PER PARRÒQUIA. CANILLO	1996	7
101	PERMISOS PER PARRÒQUIA	0205030200020001	NOMBRE DE PERMISOS PER PARRÒQUIA. CANILLO	1997	15
101	PERMISOS PER PARRÒQUIA	0205030200020001	NOMBRE DE PERMISOS PER PARRÒQUIA. CANILLO	1998	21
101	PERMISOS PER PARRÒQUIA	0205030200020001	NOMBRE DE PERMISOS PER PARRÒQUIA. CANILLO	1999	27
101	PERMISOS PER PARRÒQUIA	0205030200020001	NOMBRE DE PERMISOS PER PARRÒQUIA. CANILLO	2000	21
