      REGISTRE DELS ACORDS I CONVENIS COL.LECTIUS EN VIGOR
                     Nom de l'empresa                Tipus de convenis i acords col·lectius   Data de registre
NOVETEX, SL                                                Acord col·lectiu d'empresa           12/11/2012
POLLYANNA, SA                                              Acord col·lectiu d'empresa           16/11/2012
Andorra Desenvolupament i Inversió, SAU                    Acord col·lectiu d'empresa            1/7/2020
CALÇATS GALY, SL                                           Acord col·lectiu d'empresa           22/11/2021
OCPS Auditors, SLU                                         Acord col·lectiu d'empresa           19/12/2022
OCPS Assessors Comptables, SL                              Acord col·lectiu d'empresa           19/12/2022
OCPS Auditors i Consultors, SL                             Acord col·lectiu d'empresa           19/12/2022
OCPS Assessors Tributaris, SL                              Acord col·lectiu d'empresa           19/12/2022
Centre de Tractament de Residus d'Andorra (CTRASA)        Conveni col·lectiu d'empresa           27/4/2023
UTE Andorrana de Transport Sanitari (ATS)                 Conveni col·lectiu d'empresa           6/2/2024
Ràdio i Televisió Andorra SA (RTVA)                        Acord col·lectiu d'empresa            31/1/2025
DELOITTE ANDORRA AUDITORS I ASSESSORS, SLU                 Acord col·lectiu d'empresa            25/3/2025
Caixa Andorrana de Seguretat social (CASS)                Conveni col·lectiu d'empresa           21/7/2025
NOVATEL, SAU                                              Conveni col·lectiu d'empresa           2/3/2026
Servei Andorrà d’Atenció Sanitària (SAAS)                 Conveni col·lectiu d'empresa           7/4/2026

Registre actualitzat al 7 d'abril del 2026

