season	champion	runner_up	third_place
1994–95	FC Santa Coloma	-	-
1995–96	FC Encamp	CE Principat	FC Santa Coloma
1996–97	CE Principat	FC Andorra Veterans	FC Encamp
1997–98	CE Principat	FC Santa Coloma	FC Encamp
1998–99	CE Principat	FC Santa Coloma	FC Encamp
1999–00	Constel·lació Esportiva	FC Santa Coloma	Inter Escaldes
2000–01	FC Santa Coloma	UE Sant Julià	Inter Escaldes
2001–02	FC Encamp	UE Sant Julià	FC Santa Coloma
2002–03	FC Santa Coloma	FC Encamp	UE Sant Julià
2003–04	FC Santa Coloma	UE Sant Julià	FC Rànger's
2004–05	UE Sant Julià	FC Rànger's	FC Santa Coloma
2005–06	FC Rànger's	UE Sant Julià	FC Santa Coloma
2006–07	FC Rànger's	FC Santa Coloma	UE Sant Julià
2007–08	FC Santa Coloma	UE Sant Julià	FC Rànger's
2008–09	UE Sant Julià	FC Santa Coloma	CE Principat
2009–10	FC Santa Coloma	UE Santa Coloma	UE Sant Julià
2010–11	FC Santa Coloma	UE Sant Julià	FC Lusitanos
2011–12	FC Lusitanos	FC Santa Coloma	UE Santa Coloma
2012–13	FC Lusitanos	FC Santa Coloma	UE Santa Coloma
2013–14	FC Santa Coloma	UE Santa Coloma	UE Sant Julià
2014–15	FC Santa Coloma	FC Lusitanos	UE Santa Coloma
2015–16	FC Santa Coloma	FC Lusitanos	UE Sant Julià
2016–17	FC Santa Coloma	UE Sant Julià	UE Santa Coloma
2017–18	FC Santa Coloma	UE Engordany	UE Sant Julià
2018–19	FC Santa Coloma	UE Sant Julià	Inter Escaldes
2019–20	Inter Escaldes	FC Santa Coloma	UE Engordany
2020–21	Inter Escaldes	UE Sant Julià	FC Santa Coloma
2021–22	Inter Escaldes	UE Santa Coloma	UE Sant Julià
2022–23	Atlètic Club d'Escaldes	Inter Escaldes	FC Santa Coloma
2023–24	UE Santa Coloma	Inter Escaldes	Atlètic Club d'Escaldes
2024–25	Inter Escaldes	Atlètic Club d'Escaldes	FC Santa Coloma
2025–26	Inter Escaldes	UE Santa Coloma	FC Rànger's
